store_id,store_name,region,city,store_size,employees,open_date,latitude,longitude
ST0050,Surrey Store 50,British Columbia,Surrey,Small,55,2021-07-13,48.52525,-97.2128
ST0051,Mississauga Store 51,Ontario,Mississauga,Large,13,2019-01-05,45.10077,-108.02822
ST0052,Laval Store 52,Quebec,Laval,Flagship,87,2023-05-28,44.54553,-67.20714
ST0053,Victoria Store 53,British Columbia,Victoria,Flagship,11,2017-01-04,50.36564,-103.06887
ST0054,Saskatoon Store 54,Saskatchewan,Saskatoon,Large,28,2023-10-31,50.01278,-100.0475
ST0055,Windsor Store 55,Ontario,Windsor,Flagship,36,2017-03-28,51.16587,-95.38181
ST0056,Winnipeg Store 56,Manitoba,Winnipeg,Medium,11,2022-05-27,44.9313,-103.30428
ST0057,Laval Store 57,Quebec,Laval,Large,90,2020-09-17,46.99678,-64.13102
ST0058,Halifax Store 58,Nova Scotia,Halifax,Small,41,2017-01-01,48.8059,-63.98697
ST0059,Toronto Store 59,Ontario,Toronto,Flagship,52,2023-03-04,50.86428,-96.81637
ST0060,Gatineau Store 60,Quebec,Gatineau,Medium,40,2015-07-01,50.08785,-122.89852
ST0061,Red Deer Store 61,Alberta,Red Deer,Flagship,16,2022-06-13,52.20771,-85.61068
ST0062,Laval Store 62,Quebec,Laval,Large,60,2018-08-29,47.024,-105.26069
ST0063,Victoria Store 63,British Columbia,Victoria,Flagship,56,2022-08-06,50.48135,-112.55836
ST0064,Brandon Store 64,Manitoba,Brandon,Small,46,2018-03-21,45.10183,-75.85447
ST0065,Dartmouth Store 65,Nova Scotia,Dartmouth,Flagship,64,2022-07-30,45.13701,-94.60883
ST0066,Vancouver Store 66,British Columbia,Vancouver,Large,73,2022-06-12,49.32941,-102.8887
ST0067,Red Deer Store 67,Alberta,Red Deer,Medium,33,2016-08-26,43.24425,-108.30945
ST0068,Saint John Store 68,New Brunswick,Saint John,Small,66,2019-08-25,51.86137,-88.45975
ST0069,Regina Store 69,Saskatchewan,Regina,Flagship,39,2016-08-27,49.56058,-122.66731
ST0070,Gatineau Store 70,Quebec,Gatineau,Medium,30,2024-01-07,52.57966,-91.92253
ST0071,London Store 71,Ontario,London,Medium,23,2020-02-13,44.33339,-95.12141
ST0072,Dartmouth Store 72,Nova Scotia,Dartmouth,Flagship,78,2020-01-01,51.97208,-78.38067
ST0073,Fredericton Store 73,New Brunswick,Fredericton,Large,39,2022-02-24,45.77311,-76.33951
ST0074,Saint John Store 74,New Brunswick,Saint John,Medium,43,2019-12-07,43.77483,-105.85631
ST0075,Brandon Store 75,Manitoba,Brandon,Large,77,2015-11-27,44.38374,-109.12431
ST0076,Victoria Store 76,British Columbia,Victoria,Small,61,2019-07-28,46.30881,-95.04454
ST0077,Ottawa Store 77,Ontario,Ottawa,Flagship,57,2023-08-20,48.84079,-81.26862
ST0078,Regina Store 78,Saskatchewan,Regina,Small,53,2018-05-08,50.53475,-71.79312
ST0079,Saskatoon Store 79,Saskatchewan,Saskatoon,Flagship,36,2018-01-22,47.35836,-121.25851
ST0080,Dartmouth Store 80,Nova Scotia,Dartmouth,Medium,67,2016-06-06,52.80722,-90.95258
ST0081,Saskatoon Store 81,Saskatchewan,Saskatoon,Small,90,2019-10-22,44.35699,-95.29809
ST0082,Mississauga Store 82,Ontario,Mississauga,Flagship,49,2017-05-16,47.54699,-102.74997
ST0083,Regina Store 83,Saskatchewan,Regina,Flagship,40,2015-12-02,47.70307,-78.05854
ST0084,Mississauga Store 84,Ontario,Mississauga,Medium,16,2023-10-05,52.57286,-120.58451
ST0085,Ottawa Store 85,Ontario,Ottawa,Medium,10,2021-12-19,44.52382,-115.42674
ST0086,Sherbrooke Store 86,Quebec,Sherbrooke,Medium,67,2022-11-05,45.56244,-100.86629
ST0087,Quebec City Store 87,Quebec,Quebec City,Large,21,2021-06-28,43.25678,-104.28257
ST0088,Regina Store 88,Saskatchewan,Regina,Medium,17,2021-08-22,49.90614,-85.36546
ST0089,Laval Store 89,Quebec,Laval,Small,80,2023-10-11,43.41069,-91.03529
ST0090,Halifax Store 90,Nova Scotia,Halifax,Large,9,2019-09-17,51.22331,-116.66767
ST0091,Dartmouth Store 91,Nova Scotia,Dartmouth,Medium,63,2016-12-22,50.33795,-65.07158
ST0092,Brandon Store 92,Manitoba,Brandon,Flagship,63,2023-03-14,48.92475,-103.66173
ST0093,Calgary Store 93,Alberta,Calgary,Large,65,2017-09-25,50.50476,-88.80902
ST0094,Regina Store 94,Saskatchewan,Regina,Small,71,2018-08-24,44.8184,-110.27281
ST0095,Brandon Store 95,Manitoba,Brandon,Large,84,2022-11-12,51.80107,-89.65254
ST0096,Calgary Store 96,Alberta,Calgary,Medium,60,2020-06-24,48.55176,-108.58056
ST0097,Saint John Store 97,New Brunswick,Saint John,Flagship,65,2023-11-22,43.17243,-105.34587
ST0098,Saskatoon Store 98,Saskatchewan,Saskatoon,Large,82,2019-02-20,47.7326,-91.14468
ST0099,Regina Store 99,Saskatchewan,Regina,Large,66,2018-01-14,46.06623,-109.16772
ST0100,Red Deer Store 100,Alberta,Red Deer,Small,76,2023-07-19,49.90164,-111.50754
ST0101,Fredericton Store 101,New Brunswick,Fredericton,Large,20,2017-03-06,45.96246,-101.34714
ST0102,Winnipeg Store 102,Manitoba,Winnipeg,Medium,43,2015-07-06,52.74295,-89.79846
ST0103,Kelowna Store 103,British Columbia,Kelowna,Small,9,2021-06-09,45.84339,-94.27715
ST0104,Halifax Store 104,Nova Scotia,Halifax,Small,40,2020-05-10,44.14087,-119.07939
ST0105,Moncton Store 105,New Brunswick,Moncton,Small,27,2016-09-03,51.11142,-66.05246
ST0106,Quebec City Store 106,Quebec,Quebec City,Small,79,2023-07-29,47.16174,-87.23239
ST0107,Lethbridge Store 107,Alberta,Lethbridge,Flagship,64,2018-05-02,51.60167,-63.59812
ST0108,Winnipeg Store 108,Manitoba,Winnipeg,Small,34,2022-01-06,45.11025,-83.37431
ST0109,Victoria Store 109,British Columbia,Victoria,Medium,78,2015-11-04,44.56533,-98.48895
ST0110,Fredericton Store 110,New Brunswick,Fredericton,Small,37,2018-03-26,50.06956,-80.82075
ST0111,Moncton Store 111,New Brunswick,Moncton,Medium,41,2023-11-01,50.91248,-87.61262
ST0112,Lethbridge Store 112,Alberta,Lethbridge,Small,77,2017-07-09,49.47635,-68.49531
ST0113,Vancouver Store 113,British Columbia,Vancouver,Small,29,2023-11-21,46.07612,-78.06254
ST0114,Brandon Store 114,Manitoba,Brandon,Small,67,2022-09-21,46.04091,-98.84949
ST0115,Brandon Store 115,Manitoba,Brandon,Flagship,18,2021-09-15,43.39861,-97.07828
ST0116,Dartmouth Store 116,Nova Scotia,Dartmouth,Small,19,2017-07-26,52.61911,-72.84248
ST0117,Windsor Store 117,Ontario,Windsor,Large,81,2015-06-14,50.63109,-112.48856
ST0118,Fredericton Store 118,New Brunswick,Fredericton,Medium,82,2019-11-21,49.34785,-93.49645
ST0119,Gatineau Store 119,Quebec,Gatineau,Large,60,2018-09-27,46.21058,-116.72401
ST0120,Burnaby Store 120,British Columbia,Burnaby,Flagship,71,2018-03-26,49.62584,-98.97286
