order_line_id,order_id,product_id,quantity,unit_price,discount_pct,gross_sales,net_sales,cost_amount,profit
OL000000087,OR0000034,PR00837,2,49.07,0.0,98.14,98.14,41.1,57.04
OL000000088,OR0000034,PR01621,1,62.17,0.25,62.17,46.63,24.08,22.55
OL000000089,OR0000035,PR00776,1,8.07,0.0,8.07,8.07,6.3,1.77
OL000000090,OR0000035,PR00505,2,235.13,0.0,470.26,470.26,250.6,219.66
OL000000091,OR0000036,PR00109,5,12.17,0.0,60.85,60.85,23.15,37.7
OL000000092,OR0000036,PR01754,2,6.15,0.15,12.3,10.46,5.44,5.02
OL000000093,OR0000036,PR00466,2,12.6,0.05,25.2,23.94,12.2,11.74
OL000000094,OR0000037,PR00017,1,428.95,0.0,428.95,428.95,319.09,109.86
OL000000095,OR0000037,PR00562,1,275.17,0.15,275.17,233.89,165.74,68.15
OL000000096,OR0000038,PR00930,2,42.71,0.0,85.42,85.42,41.66,43.76
OL000000097,OR0000038,PR00210,1,27.79,0.0,27.79,27.79,19.26,8.53
OL000000098,OR0000038,PR00955,1,473.91,0.05,473.91,450.21,187.28,262.93
OL000000099,OR0000038,PR01187,1,39.52,0.0,39.52,39.52,23.32,16.2
OL000000100,OR0000039,PR00285,1,36.43,0.0,36.43,36.43,17.9,18.53
OL000000101,OR0000039,PR00046,1,4.32,0.0,4.32,4.32,3.35,0.97
OL000000102,OR0000040,PR00921,3,5.62,0.25,16.86,12.64,8.19,4.45
OL000000103,OR0000040,PR00631,8,191.97,0.15,1535.76,1305.4,1002.56,302.84
OL000000104,OR0000040,PR00397,1,300.54,0.25,300.54,225.41,154.01,71.4
OL000000105,OR0000040,PR00996,1,162.65,0.0,162.65,162.65,65.07,97.58
OL000000106,OR0000040,PR01021,2,409.42,0.0,818.84,818.84,522.52,296.32
OL000000107,OR0000041,PR01578,1,220.1,0.0,220.1,220.1,94.76,125.34
OL000000108,OR0000042,PR00098,3,240.09,0.0,720.27,720.27,368.46,351.81
OL000000109,OR0000043,PR00199,1,135.68,0.0,135.68,135.68,75.9,59.78
OL000000110,OR0000043,PR01761,1,49.97,0.05,49.97,47.47,24.68,22.79
OL000000111,OR0000043,PR01527,5,97.96,0.0,489.8,489.8,201.0,288.8
OL000000112,OR0000044,PR00450,2,7.83,0.1,15.66,14.09,12.42,1.67
OL000000113,OR0000044,PR01023,1,19.55,0.0,19.55,19.55,7.38,12.17
OL000000114,OR0000044,PR01701,1,213.92,0.1,213.92,192.53,116.99,75.54
OL000000115,OR0000044,PR00864,1,92.93,0.0,92.93,92.93,71.13,21.8
OL000000116,OR0000045,PR00693,5,62.3,0.0,311.5,311.5,132.2,179.3
OL000000117,OR0000046,PR00448,1,438.56,0.1,438.56,394.7,229.31,165.39
OL000000118,OR0000046,PR01324,2,27.05,0.0,54.1,54.1,22.82,31.28
OL000000119,OR0000046,PR01123,1,7.82,0.0,7.82,7.82,3.68,4.14
OL000000120,OR0000046,PR01073,5,5.96,0.1,29.8,26.82,16.25,10.57
OL000000121,OR0000047,PR00248,1,97.57,0.0,97.57,97.57,76.75,20.82
OL000000122,OR0000047,PR01010,2,15.18,0.0,30.36,30.36,13.46,16.9
OL000000123,OR0000047,PR00123,2,7.29,0.0,14.58,14.58,8.24,6.34
OL000000124,OR0000047,PR01598,1,65.85,0.0,65.85,65.85,32.64,33.21
OL000000125,OR0000048,PR01520,1,610.98,0.0,610.98,610.98,243.85,367.13
OL000000126,OR0000048,PR00375,1,53.25,0.25,53.25,39.94,25.53,14.41
OL000000127,OR0000049,PR01314,2,32.55,0.0,65.1,65.1,46.36,18.74
OL000000128,OR0000049,PR00546,3,48.15,0.05,144.45,137.23,96.57,40.66
OL000000129,OR0000050,PR01042,1,46.22,0.0,46.22,46.22,24.18,22.04
OL000000130,OR0000050,PR00354,1,100.98,0.1,100.98,90.88,56.11,34.77
OL000000131,OR0000050,PR00055,1,5.09,0.0,5.09,5.09,2.1,2.99
OL000000132,OR0000050,PR01205,1,5.13,0.0,5.13,5.13,2.41,2.72
OL000000133,OR0000050,PR00877,3,276.12,0.25,828.36,621.27,380.64,240.63
OL000000134,OR0000051,PR00219,2,14.16,0.05,28.32,26.9,20.86,6.04
OL000000135,OR0000052,PR00407,1,14.69,0.0,14.69,14.69,5.69,9.0
OL000000136,OR0000052,PR01036,2,3.74,0.05,7.48,7.11,4.06,3.05
OL000000137,OR0000052,PR00551,1,15.89,0.05,15.89,15.1,6.22,8.88
OL000000138,OR0000052,PR01285,1,375.49,0.05,375.49,356.72,150.93,205.79
OL000000139,OR0000053,PR00382,2,10.96,0.25,21.92,16.44,9.48,6.96
OL000000140,OR0000053,PR01642,1,19.41,0.0,19.41,19.41,8.13,11.28
OL000000141,OR0000054,PR00103,2,223.6,0.25,447.2,335.4,275.48,59.92
OL000000142,OR0000054,PR01009,1,16.52,0.3,16.52,11.56,12.43,-0.87
OL000000143,OR0000054,PR00219,1,14.16,0.0,14.16,14.16,10.43,3.73
OL000000144,OR0000054,PR01185,2,5.67,0.05,11.34,10.77,5.02,5.75
OL000000145,OR0000054,PR00799,1,11.15,0.1,11.15,10.04,5.77,4.27
OL000000146,OR0000055,PR01385,1,22.43,0.0,22.43,22.43,9.18,13.25
OL000000147,OR0000055,PR01060,1,250.42,0.0,250.42,250.42,96.08,154.34
OL000000148,OR0000055,PR00779,3,15.67,0.0,47.01,47.01,23.79,23.22
OL000000149,OR0000056,PR00269,1,43.79,0.15,43.79,37.22,16.1,21.12
OL000000150,OR0000057,PR01367,4,30.0,0.15,120.0,102.0,82.16,19.84
OL000000151,OR0000058,PR01476,1,201.18,0.0,201.18,201.18,153.47,47.71
OL000000152,OR0000058,PR00740,3,55.6,0.2,166.8,133.44,62.19,71.25
OL000000153,OR0000058,PR01193,2,23.44,0.0,46.88,46.88,34.12,12.76
OL000000154,OR0000059,PR00322,5,160.82,0.0,804.1,804.1,368.45,435.65
OL000000155,OR0000059,PR01730,3,33.18,0.15,99.54,84.61,57.51,27.1
OL000000156,OR0000059,PR01771,2,3.13,0.15,6.26,5.32,4.74,0.58
OL000000157,OR0000060,PR00283,1,18.36,0.0,18.36,18.36,7.89,10.47
OL000000158,OR0000060,PR01156,2,8.73,0.0,17.46,17.46,6.78,10.68
OL000000159,OR0000060,PR01187,3,39.52,0.0,118.56,118.56,69.96,48.6
OL000000160,OR0000061,PR00800,1,9.7,0.0,9.7,9.7,5.58,4.12
OL000000161,OR0000061,PR00870,2,203.11,,406.22,365.6,190.72,174.88
OL000000162,OR0000062,PR01442,1,299.58,0.0,299.58,299.58,124.86,174.72
OL000000163,OR0000063,PR01704,4,67.42,0.1,269.68,242.71,120.04,122.67
OL000000164,OR0000063,PR00382,1,10.96,0.0,10.96,10.96,4.74,6.22
OL000000165,OR0000063,PR01761,2,49.97,0.2,99.94,79.95,49.36,30.59
OL000000166,OR0000064,PR01670,1,329.93,0.1,329.93,296.94,235.14,61.8
OL000000167,OR0000065,PR00517,1,14.78,0.0,14.78,14.78,5.39,9.39
OL000000168,OR0000066,PR01548,5,215.61,0.0,1078.05,1078.05,387.15,690.9
OL000000169,OR0000066,PR00531,3,93.46,0.1,280.38,252.34,120.99,131.35
OL000000170,OR0000066,PR01577,1,184.12,0.0,184.12,184.12,70.51,113.61
OL000000171,OR0000067,PR01287,2,4.99,0.0,9.98,9.98,4.96,5.02
OL000000172,OR0000068,PR01066,1,290.17,0.0,290.17,290.17,130.02,160.15
OL000000173,OR0000069,PR01175,1,13.38,0.0,13.38,13.38,10.16,3.22
OL000000174,OR0000069,PR01661,2,870.27,0.0,1740.54,1740.54,692.2,1048.34
OL000000175,OR0000069,PR01710,1,96.28,0.0,96.28,96.28,49.65,46.63
OL000000176,OR0000070,PR01164,1,25.71,0.1,25.71,23.14,16.09,7.05
OL000000177,OR0000071,PR01472,1,10.76,0.25,10.76,8.07,7.44,0.63
OL000000178,OR0000071,PR01718,1,12.59,0.0,12.59,12.59,7.83,4.76
OL000000179,OR0000072,PR01704,1,67.42,0.0,67.42,67.42,30.01,37.41
OL000000180,OR0000073,PR00531,2,93.46,0.05,186.92,177.57,80.66,96.91
OL000000181,OR0000074,PR01084,1,138.75,0.0,138.75,138.75,65.65,73.1
OL000000182,OR0000075,PR00781,1,430.43,0.0,430.43,430.43,211.03,219.4
OL000000183,OR0000076,PR00257,1,113.83,0.0,113.83,113.83,71.82,42.01
OL000000184,OR0000076,PR01419,5,497.37,0.3,2486.85,1740.79,1323.3,417.49
OL000000185,OR0000077,PR00592,2,106.34,0.0,212.68,212.68,126.3,86.38
OL000000186,OR0000077,PR01500,1,474.5,0.25,474.5,355.88,207.62,148.26
OL000000187,OR0000078,PR00926,2,178.73,0.0,357.46,357.46,171.12,186.34
OL000000188,OR0000078,PR00571,1,55.36,0.0,55.36,55.36,33.92,21.44
OL000000189,OR0000078,PR01616,3,35.67,0.0,107.01,107.01,56.04,50.97
OL000000190,OR0000078,PR00826,1,23.85,0.0,23.85,23.85,8.77,15.08
OL000000191,OR0000078,PR00824,1,5.83,0.0,5.83,5.83,3.51,2.32
OL000000192,OR0000078,PR01619,1,12.1,0.3,12.1,8.47,5.68,2.79
OL000000193,OR0000079,PR00756,1,250.75,0.1,250.75,225.68,95.13,130.55
OL000000194,OR0000079,PR01050,2,29.57,0.0,59.14,59.14,23.86,35.28
OL000000195,OR0000079,PR00466,2,12.6,0.0,25.2,25.2,12.2,13.0
OL000000196,OR0000080,PR01331,1,232.54,0.0,232.54,232.54,92.47,140.07
OL000000197,OR0000081,PR00826,1,23.85,0.25,23.85,17.89,8.77,9.12
OL000000198,OR0000082,PR00068,1,7.54,0.0,7.54,7.54,4.32,3.22
OL000000199,OR0000082,PR00003,1,16.65,0.0,16.65,16.65,10.38,6.27
OL000000200,OR0000083,PR01227,1,15.45,0.3,15.45,10.82,10.44,0.38
OL000000201,OR0000083,PR01283,4,8.76,0.15,35.04,29.78,23.28,6.5
OL000000202,OR0000084,PR00206,1,9.99,0.15,9.99,8.49,5.69,2.8
OL000000203,OR0000084,PR00416,1,37.17,0.0,37.17,37.17,23.49,13.68
OL000000204,OR0000084,PR00715,3,32.02,0.1,96.06,86.45,46.8,39.65
OL000000205,OR0000084,PR00711,3,18.5,0.0,55.5,55.5,22.95,32.55
OL000000206,OR0000085,PR01189,1,86.9,0.0,86.9,86.9,41.94,44.96
OL000000207,OR0000086,PR01444,1,17.77,0.0,17.77,17.77,6.53,11.24
OL000000208,OR0000086,PR00489,1,34.62,0.0,34.62,34.62,18.67,15.95
OL000000209,OR0000086,PR01040,1,77.95,0.1,77.95,70.16,30.24,39.92
OL000000210,OR0000086,PR01168,1,10.32,0.0,10.32,10.32,7.68,2.64
OL000000211,OR0000087,PR01215,1,14.07,0.05,14.07,13.37,9.94,3.43
OL000000212,OR0000087,PR01017,1,225.38,0.0,225.38,225.38,136.47,88.91
OL000000213,OR0000088,PR00651,1,65.03,0.0,65.03,65.03,23.57,41.46
OL000000214,OR0000088,PR00368,2,11.95,0.05,23.9,22.7,13.42,9.28
OL000000215,OR0000089,PR01604,1,164.8,0.25,164.8,123.6,93.02,30.58
OL000000216,OR0000090,PR01231,1,23.4,0.0,23.4,23.4,8.73,14.67
OL000000217,OR0000090,PR00197,2,165.38,0.0,330.76,330.76,224.34,106.42
OL000000218,OR0000090,PR01691,1,32.89,0.0,32.89,32.89,15.95,16.94
OL000000219,OR0000091,PR00992,2,193.12,0.0,386.24,386.24,194.76,191.48
OL000000220,OR0000091,PR00024,2,46.94,0.2,93.88,75.1,71.58,3.52
OL000000221,OR0000091,PR01095,2,89.0,0.05,178.0,169.1,82.16,86.94
OL000000222,OR0000092,PR01028,1,7.0,0.0,7.0,7.0,2.57,4.43
OL000000223,OR0000092,PR00072,1,24.95,0.0,24.95,24.95,16.04,8.91
OL000000224,OR0000093,PR01682,1,38.37,0.0,38.37,38.37,28.43,9.94
OL000000225,OR0000094,PR01281,1,6.05,0.1,6.05,5.44,2.41,3.03
OL000000226,OR0000094,PR00062,1,92.79,0.0,92.79,92.79,57.29,35.5
OL000000227,OR0000094,PR00287,1,7.79,0.2,7.79,6.23,4.51,1.72
OL000000228,OR0000094,PR00048,1,2.37,0.0,2.37,2.37,1.68,0.69
OL000000229,OR0000094,PR01784,1,371.2,,371.2,352.64,225.15,127.49
OL000000230,OR0000095,PR00649,2,128.49,0.15,256.98,218.43,112.58,105.85
OL000000231,OR0000095,PR00450,3,7.83,0.0,23.49,23.49,18.63,4.86
OL000000232,OR0000095,PR00193,1,118.14,0.0,118.14,118.14,44.35,73.79
OL000000233,OR0000095,PR00524,1,228.46,0.25,228.46,171.34,105.74,65.6
OL000000234,OR0000096,PR00555,2,81.3,0.25,162.6,121.95,71.64,50.31
OL000000235,OR0000096,PR01438,2,61.48,0.15,122.96,104.52,45.12,59.4
OL000000236,OR0000096,PR01591,2,436.96,0.05,873.92,830.22,355.4,474.82
OL000000237,OR0000096,PR01296,2,9.09,0.0,18.18,18.18,14.3,3.88
OL000000238,OR0000096,PR00700,2,251.34,0.15,502.68,427.28,281.22,146.06
OL000000239,OR0000096,PR00197,2,165.38,0.1,330.76,297.68,224.34,73.34
OL000000240,OR0000097,PR01484,2,22.96,0.0,45.92,45.92,22.88,23.04
OL000000241,OR0000097,PR00728,1,29.53,0.1,29.53,26.58,23.49,3.09
OL000000242,OR0000097,PR01670,1,329.93,0.0,329.93,329.93,235.14,94.79
OL000000243,OR0000098,PR00683,2,105.57,0.0,211.14,211.14,85.2,125.94
OL000000244,OR0000099,PR00353,2,39.38,0.0,78.76,78.76,40.94,37.82
OL000000245,OR0000099,PR00724,4,56.55,0.0,226.2,226.2,112.08,114.12
OL000000246,OR0000100,PR01751,2,43.53,0.0,87.06,87.06,44.84,42.22
OL000000247,OR0000101,PR01406,5,84.04,0.1,420.2,378.18,230.7,147.48
OL000000248,OR0000101,PR00795,2,54.69,0.05,109.38,103.91,48.32,55.59
OL000000249,OR0000102,PR01016,3,59.93,0.0,179.79,179.79,69.63,110.16
OL000000250,OR0000102,PR01699,2,18.41,0.0,36.82,36.82,15.88,20.94
OL000000251,OR0000102,PR00976,1,6.53,0.0,6.53,6.53,3.72,2.81
OL000000252,OR0000103,PR00453,1,15.5,0.05,15.5,14.72,6.74,7.98
OL000000253,OR0000104,PR01044,5,13.86,0.1,69.3,62.37,31.3,31.07
OL000000254,OR0000105,PR00128,2,6.93,0.05,13.86,13.17,8.72,4.45
OL000000255,OR0000105,PR01411,1,10.49,0.0,10.49,10.49,7.33,3.16
OL000000256,OR0000106,PR00701,3,97.69,0.2,293.07,234.46,181.32,53.14
OL000000257,OR0000107,PR01378,1,95.93,0.0,95.93,95.93,70.39,25.54
OL000000258,OR0000108,PR00041,1,21.53,0.1,21.53,19.38,9.55,9.83
OL000000259,OR0000108,PR00543,1,273.45,0.0,273.45,273.45,103.8,169.65
OL000000260,OR0000108,PR00927,1,46.27,0.15,46.27,39.33,29.33,10.0
OL000000261,OR0000108,PR00059,2,33.4,0.2,66.8,53.44,34.94,18.5
OL000000262,OR0000109,PR00214,1,22.43,0.05,22.43,21.31,12.21,9.1
OL000000263,OR0000109,PR00580,2,239.13,0.0,478.26,478.26,381.52,96.74
OL000000264,OR0000110,PR01218,1,92.33,0.0,92.33,92.33,40.1,52.23
OL000000265,OR0000111,PR00367,4,11.84,0.15,47.36,40.26,30.24,10.02
OL000000266,OR0000112,PR00109,1,12.17,0.0,12.17,12.17,4.63,7.54
OL000000267,OR0000112,PR00965,1,245.46,0.1,245.46,220.91,139.36,81.55
OL000000268,OR0000112,PR00663,1,276.93,0.1,276.93,249.24,172.74,76.5
OL000000269,OR0000112,PR01323,1,9.79,0.0,9.79,9.79,5.4,4.39
OL000000270,OR0000112,PR01220,2,24.61,0.0,49.22,49.22,21.16,28.06
OL000000271,OR0000112,PR00421,1,24.03,0.0,24.03,24.03,8.71,15.32
OL000000272,OR0000113,PR01562,1,75.42,0.1,75.42,67.88,52.98,14.9
OL000000273,OR0000114,PR00552,1,49.64,0.05,49.64,47.16,22.45,24.71
OL000000274,OR0000114,PR01024,3,221.41,0.0,664.23,664.23,367.71,296.52
OL000000275,OR0000114,PR00433,2,57.6,0.0,115.2,115.2,75.52,39.68
OL000000276,OR0000115,PR01051,8,42.3,0.0,338.4,338.4,152.08,186.32
OL000000277,OR0000116,PR00766,1,24.12,0.0,24.12,24.12,10.01,14.11
OL000000278,OR0000116,PR00566,2,521.83,0.0,1043.66,1043.66,754.44,289.22
OL000000279,OR0000117,PR01055,2,488.3,0.0,976.6,976.6,395.12,581.48
OL000000280,OR0000117,PR01534,2,577.25,0.0,1154.5,1154.5,561.5,593.0
OL000000281,OR0000118,PR01685,1,43.14,0.0,43.14,43.14,15.83,27.31
OL000000282,OR0000119,PR00940,5,5.51,0.0,27.55,27.55,14.5,13.05
OL000000283,OR0000119,PR00298,1,21.91,0.0,21.91,21.91,14.69,7.22
OL000000284,OR0000119,PR01232,4,172.45,0.0,689.8,689.8,434.28,255.52
OL000000285,OR0000120,PR00589,1,102.38,0.0,102.38,102.38,72.12,30.26
OL000000286,OR0000120,PR01195,1,8.28,0.0,8.28,8.28,3.0,5.28
OL000000287,OR0000120,PR00771,3,9.6,0.0,28.8,28.8,13.59,15.21
OL000000288,OR0000121,PR00135,1,6.74,0.0,6.74,6.74,2.58,4.16
OL000000289,OR0000122,PR00928,1,222.64,0.25,222.64,166.98,150.46,16.52
OL000000290,OR0000122,PR00694,1,40.74,0.05,40.74,38.7,20.06,18.64
OL000000291,OR0000123,PR00977,1,154.56,0.0,154.56,154.56,101.92,52.64
OL000000292,OR0000124,PR01546,3,38.4,0.05,115.2,109.44,74.34,35.1
OL000000293,OR0000125,PR01224,2,15.02,0.0,30.04,30.04,11.74,18.3
OL000000294,OR0000125,PR01075,1,8.02,0.0,8.02,8.02,3.46,4.56
OL000000295,OR0000125,PR00102,1,28.75,0.3,28.75,20.12,11.7,8.42
OL000000296,OR0000125,PR00016,3,182.6,0.05,547.8,520.41,246.36,274.05
OL000000297,OR0000125,PR01479,1,294.22,0.2,294.22,235.38,212.28,23.1
OL000000298,OR0000125,PR01054,1,27.0,0.0,27.0,27.0,10.75,16.25
OL000000299,OR0000126,PR00618,1,46.27,0.0,46.27,46.27,19.72,26.55
OL000000300,OR0000127,PR01554,1,224.29,0.0,224.29,224.29,146.4,77.89
OL000000301,OR0000128,PR00508,1,11.2,0.0,11.2,11.2,4.24,6.96
OL000000302,OR0000129,PR01040,1,77.95,0.0,77.95,77.95,30.24,47.71
OL000000303,OR0000130,PR01052,1,25.22,0.1,25.22,22.7,10.09,12.61
OL000000304,OR0000130,PR00544,1,14.64,0.0,14.64,14.64,6.68,7.96
OL000000305,OR0000130,PR00668,1,119.72,0.05,119.72,113.73,48.92,64.81
OL000000306,OR0000131,PR00683,1,105.57,0.0,105.57,105.57,42.6,62.97
OL000000307,OR0000132,PR00183,3,17.88,0.05,53.64,50.96,29.79,21.17
OL000000308,OR0000132,PR01290,2,17.93,0.0,35.86,35.86,18.74,17.12
OL000000309,OR0000132,PR00548,1,567.16,0.0,567.16,567.16,228.43,338.73
OL000000310,OR0000132,PR01147,1,13.82,0.05,13.82,13.13,5.34,7.79
OL000000311,OR0000132,PR00330,2,4.97,0.0,9.94,9.94,5.32,4.62
OL000000312,OR0000132,PR01496,2,40.28,0.1,80.56,72.5,54.2,18.3
OL000000313,OR0000133,PR00232,1,12.83,0.1,12.83,11.55,8.14,3.41
OL000000314,OR0000134,PR00950,1,7.13,0.3,7.13,4.99,4.96,0.03
OL000000315,OR0000134,PR01108,2,26.79,0.0,53.58,53.58,20.88,32.7
OL000000316,OR0000134,PR01251,1,469.04,0.2,469.04,375.23,238.41,136.82
OL000000317,OR0000134,PR00581,2,133.75,0.05,267.5,254.12,100.84,153.28
OL000000318,OR0000134,PR00793,2,66.34,0.0,132.68,132.68,53.94,78.74
OL000000319,OR0000134,PR00467,1,44.93,0.0,44.93,44.93,20.44,24.49
OL000000320,OR0000135,PR01303,1,132.57,0.05,132.57,125.94,52.17,73.77
OL000000321,OR0000136,PR01218,2,92.33,0.0,184.66,184.66,80.2,104.46
OL000000322,OR0000136,PR00315,2,12.52,0.05,25.04,23.79,11.04,12.75
