campaign_id,campaign_name,campaign_channel,target_segment,start_date,campaign_spend,campaign_objective,end_date
CA00033,Display Campaign 33,Loyalty App,Student,2024-12-01,2008.25,Conversion,2024-12-13
CA00034,Search Campaign 34,Search,All Customers,2024-03-24,6994.07,Retention,2024-04-28
CA00035,Search Campaign 35,Flyer,Consumer,2024-04-01,2762.86,Winback,2024-04-19
CA00036,Display Campaign 36,Search,Small Business,2024-11-19,4581.5,Retention,2024-12-12
CA00037,Flyer Campaign 37,Loyalty App,Corporate,2024-10-25,2354.72,Conversion,2024-11-12
CA00038,Display Campaign 38,Flyer,Consumer,2025-04-26,3593.19,Awareness,2025-05-08
CA00039,Display Campaign 39,Loyalty App,Corporate,2023-08-19,11635.04,Awareness,2023-09-07
CA00040,Display Campaign 40,Influencer,All Customers,2023-04-14,32256.77,Retention,2023-05-18
CA00041,Display Campaign 41,Loyalty App,Premium,2025-04-24,13514.54,Retention,2025-06-03
CA00042,Email Campaign 42,Influencer,Small Business,2025-11-11,11062.78,Winback,2025-12-16
CA00043,Social Campaign 43,Display,Premium,2023-07-22,5686.6,Conversion,2023-08-21
CA00044,Flyer Campaign 44,Email,Corporate,2025-09-14,12004.16,Retention,2025-09-20
CA00045,Search Campaign 45,Search,Consumer,2024-10-08,5356.06,Conversion,2024-10-20
CA00046,Display Campaign 46,Influencer,Student,2025-04-22,2252.6,Winback,2025-05-11
CA00047,Search Campaign 47,Flyer,Corporate,2024-03-06,4865.84,Awareness,2024-03-14
CA00048,Email Campaign 48,Flyer,Corporate,2025-10-11,3191.0,Winback,2025-11-07
CA00049,Flyer Campaign 49,Influencer,All Customers,2024-09-24,382.84,Conversion,2024-11-02
CA00050,Display Campaign 50,Flyer,Small Business,2023-10-20,25371.32,Conversion,2023-11-03
CA00051,Loyalty App Campaign 51,Flyer,Premium,2025-02-08,5206.8,Conversion,2025-02-17
CA00052,Display Campaign 52,Email,All Customers,2024-02-11,4899.72,Retention,2024-03-12
CA00053,Loyalty App Campaign 53,Loyalty App,Small Business,2023-04-24,9763.43,Conversion,2023-06-07
CA00054,Search Campaign 54,Loyalty App,Student,2023-11-29,4928.41,Awareness,2023-12-19
CA00055,Display Campaign 55,Display,All Customers,2023-10-03,4291.64,Awareness,2023-10-29
CA00056,Email Campaign 56,Email,All Customers,2025-10-18,6561.03,Winback,2025-11-13
CA00057,Social Campaign 57,Search,Consumer,2025-04-20,7909.62,Winback,2025-05-21
CA00058,Display Campaign 58,Influencer,Consumer,2023-03-30,12498.98,Awareness,2023-04-25
CA00059,Flyer Campaign 59,Social,Small Business,2023-01-25,2587.13,Retention,2023-02-06
CA00060,Social Campaign 60,Email,Premium,2024-08-28,4120.67,Awareness,2024-09-09
CA00061,Influencer Campaign 61,Flyer,Small Business,2025-04-02,3035.99,Awareness,2025-05-09
CA00062,Loyalty App Campaign 62,Display,All Customers,2023-04-05,4493.45,Conversion,2023-04-20
CA00063,Display Campaign 63,Display,Corporate,2024-03-25,6367.19,Conversion,2024-04-12
CA00064,Email Campaign 64,Email,Corporate,2023-04-24,8178.38,Awareness,2023-06-05
CA00065,Search Campaign 65,Search,Corporate,2025-04-01,12285.31,Conversion,2025-04-17
CA00066,Search Campaign 66,Display,Premium,2025-04-27,11083.36,Retention,2025-05-21
CA00067,Influencer Campaign 67,Flyer,Corporate,2025-01-21,9253.38,Winback,2025-01-27
CA00068,Search Campaign 68,Search,Premium,2024-08-04,9852.77,Awareness,2024-08-19
CA00069,Influencer Campaign 69,Flyer,Premium,2024-09-24,62735.37,Winback,2024-10-11
CA00070,Display Campaign 70,Search,Small Business,2024-04-26,4159.29,Winback,2024-05-06
CA00071,Display Campaign 71,Loyalty App,Consumer,2023-02-05,21530.9,Retention,2023-03-19
CA00072,Email Campaign 72,Loyalty App,Premium,2025-10-07,1175.15,Winback,2025-10-31
CA00073,Display Campaign 73,Influencer,Corporate,2024-03-06,8875.21,Winback,2024-03-16
CA00074,Social Campaign 74,Social,Consumer,2025-06-18,1216.15,Awareness,2025-07-18
CA00075,Flyer Campaign 75,Influencer,Corporate,2025-03-28,7618.99,Awareness,2025-05-11
CA00076,Loyalty App Campaign 76,Loyalty App,Consumer,2024-12-25,26617.39,Conversion,2025-01-07
CA00077,Search Campaign 77,Display,Premium,2024-05-02,4206.19,Winback,2024-06-08
CA00078,Loyalty App Campaign 78,Email,Consumer,2024-04-24,11696.0,Conversion,2024-06-03
CA00079,Social Campaign 79,Flyer,Premium,2025-03-08,9018.02,Awareness,2025-03-14
CA00080,Flyer Campaign 80,Loyalty App,Premium,2024-12-16,1691.6,Retention,2025-01-30
CA00081,Influencer Campaign 81,Display,All Customers,2024-05-27,8128.68,Retention,2024-07-04
CA00082,Flyer Campaign 82,Email,Small Business,2025-07-24,2938.45,Retention,2025-08-19
CA00083,Influencer Campaign 83,Display,Student,2023-08-04,7681.91,Retention,2023-08-20
CA00084,Search Campaign 84,Social,Corporate,2025-08-23,14134.35,Conversion,2025-09-11
CA00085,Display Campaign 85,Search,Student,2025-06-26,4755.09,Retention,2025-07-26
CA00086,Search Campaign 86,Influencer,Student,2023-10-30,3206.13,Retention,2023-11-11
CA00087,Flyer Campaign 87,Email,Corporate,2023-08-05,7008.61,Conversion,2023-08-30
CA00088,Email Campaign 88,Email,Premium,2023-12-09,8914.08,Retention,2024-01-14
CA00089,Flyer Campaign 89,Flyer,All Customers,2025-03-16,6649.91,Winback,2025-04-03
CA00090,Loyalty App Campaign 90,Email,Student,2025-06-24,21716.96,Winback,2025-08-04
CA00091,Flyer Campaign 91,Search,Consumer,2024-02-10,22216.47,Awareness,2024-02-17
CA00092,Social Campaign 92,Loyalty App,Small Business,2024-06-06,8719.47,Conversion,2024-07-09
CA00093,Search Campaign 93,Influencer,Premium,2024-05-18,2348.08,Winback,2024-06-02
CA00094,Display Campaign 94,Search,Student,2024-11-11,18288.52,Winback,2024-12-15
CA00095,Influencer Campaign 95,Email,Premium,2025-10-04,49434.29,Conversion,2025-10-23
CA00096,Display Campaign 96,Flyer,Corporate,2023-10-14,9289.01,Conversion,2023-11-11
CA00097,Flyer Campaign 97,Search,Premium,2023-10-06,24921.69,Winback,2023-10-11
CA00098,Social Campaign 98,Influencer,Small Business,2023-10-28,2417.72,Conversion,2023-11-30
CA00099,Search Campaign 99,Email,Consumer,2025-02-15,1516.49,Retention,2025-03-12
CA00100,Loyalty App Campaign 100,Search,Premium,2024-11-16,24384.64,Winback,2024-12-09
CA00101,Influencer Campaign 101,Social,Small Business,2025-07-27,5089.29,Awareness,2025-09-06
CA00102,Influencer Campaign 102,Search,Corporate,2024-09-20,20733.65,Retention,2024-09-27
CA00103,Social Campaign 103,Influencer,Premium,2025-06-29,5377.81,Retention,2025-07-10
CA00104,Display Campaign 104,Social,All Customers,2025-02-07,6593.01,Conversion,2025-02-16
CA00105,Display Campaign 105,Loyalty App,All Customers,2023-06-02,9549.94,Conversion,2023-06-23
CA00106,Influencer Campaign 106,Social,Consumer,2023-01-17,4631.56,Awareness,2023-01-28
CA00107,Display Campaign 107,Display,Corporate,2024-03-05,8241.01,Winback,2024-03-18
CA00108,Flyer Campaign 108,Display,Student,2024-03-12,4059.45,Conversion,2024-03-27
CA00109,Social Campaign 109,Social,Small Business,2023-09-23,3019.6,Awareness,2023-10-28
CA00110,Social Campaign 110,Search,Corporate,2024-05-03,59588.04,Awareness,2024-05-10
CA00111,Loyalty App Campaign 111,Influencer,Corporate,2023-12-24,15417.35,Winback,2024-02-02
CA00112,Email Campaign 112,Influencer,Premium,2023-07-13,8162.52,Awareness,2023-07-16
CA00113,Influencer Campaign 113,Influencer,Consumer,2023-03-04,3916.02,Awareness,2023-04-09
CA00114,Influencer Campaign 114,Flyer,Consumer,2024-07-18,4864.59,Awareness,2024-08-10
CA00115,Email Campaign 115,Email,Corporate,2025-05-10,958.06,Awareness,2025-05-24
CA00116,Social Campaign 116,Social,Student,2023-03-29,7421.22,Winback,2023-05-02
CA00117,Display Campaign 117,Loyalty App,Small Business,2024-07-06,8156.1,Awareness,2024-07-17
CA00118,Display Campaign 118,Influencer,All Customers,2024-05-08,8079.41,Winback,2024-05-29
CA00119,Search Campaign 119,Email,Premium,2025-06-13,10117.96,Conversion,2025-06-26
CA00120,Display Campaign 120,Email,Small Business,2025-02-06,4039.54,Winback,2025-02-19
CA00121,Influencer Campaign 121,Email,Corporate,2024-04-18,23141.56,Winback,2024-05-01
CA00122,Influencer Campaign 122,Influencer,All Customers,2024-07-28,9664.78,Awareness,2024-08-13
CA00123,Loyalty App Campaign 123,Email,Student,2023-08-05,2529.38,Awareness,2023-09-06
CA00124,Flyer Campaign 124,Display,All Customers,2023-09-01,9389.05,Awareness,2023-09-25
CA00125,Search Campaign 125,Social,Small Business,2023-06-03,3970.32,Winback,2023-06-20
CA00126,Search Campaign 126,Loyalty App,All Customers,2023-06-12,1436.1,Awareness,2023-07-20
CA00127,Email Campaign 127,Search,Premium,2025-08-08,15051.63,Retention,2025-09-17
CA00128,Influencer Campaign 128,Email,All Customers,2024-07-30,2204.81,Retention,2024-09-10
CA00129,Flyer Campaign 129,Social,Student,2023-01-01,4311.68,Winback,2023-01-05
CA00130,Search Campaign 130,Loyalty App,All Customers,2024-04-27,5442.56,Winback,2024-05-18
CA00131,Display Campaign 131,Flyer,All Customers,2024-05-19,15274.36,Retention,2024-05-26
CA00132,Influencer Campaign 132,Social,Small Business,2023-08-22,5833.14,Retention,2023-08-27
CA00133,Email Campaign 133,Loyalty App,Small Business,2025-06-04,1906.03,Retention,2025-07-10
CA00134,Display Campaign 134,Display,Consumer,2025-10-25,3530.75,Awareness,2025-11-28
CA00135,Social Campaign 135,Social,Premium,2025-06-08,4448.61,Retention,2025-06-14
CA00136,Flyer Campaign 136,Email,Premium,2025-01-13,4510.45,Retention,2025-01-20
CA00137,Email Campaign 137,Social,Corporate,2024-05-27,8435.1,Retention,2024-06-04
CA00138,Influencer Campaign 138,Search,Small Business,2024-11-18,10160.1,Conversion,2024-12-16
CA00139,Influencer Campaign 139,Display,Corporate,2024-12-10,5757.28,Conversion,2025-01-02
CA00140,Display Campaign 140,Flyer,All Customers,2025-11-15,4853.89,Retention,2025-12-06
CA00141,Loyalty App Campaign 141,Display,Student,2024-01-31,5475.37,Awareness,2024-02-10
CA00142,Social Campaign 142,Email,Corporate,2024-05-18,2442.64,Conversion,2024-06-10
CA00143,Loyalty App Campaign 143,Display,Premium,2023-05-24,2801.36,Conversion,2023-06-09
CA00144,Influencer Campaign 144,Display,Student,2024-08-17,3682.59,Awareness,2024-08-21
CA00145,Loyalty App Campaign 145,Influencer,Premium,2024-06-20,3141.38,Retention,2024-08-03
CA00146,Loyalty App Campaign 146,Search,All Customers,2023-02-05,7448.57,Conversion,2023-02-17
CA00147,Email Campaign 147,Display,All Customers,2024-09-01,4574.79,Winback,2024-09-13
CA00148,Loyalty App Campaign 148,Display,Small Business,2025-10-25,3904.2,Conversion,2025-11-10
CA00149,Influencer Campaign 149,Flyer,All Customers,2023-03-18,14218.51,Awareness,2023-05-01
CA00150,Display Campaign 150,Search,Consumer,2024-04-15,5377.76,Winback,2024-04-29
CA00151,Social Campaign 151,Display,Consumer,2023-05-21,6456.21,Winback,2023-06-13
CA00152,Influencer Campaign 152,Flyer,Student,2025-10-13,5028.91,Winback,2025-11-13
CA00153,Search Campaign 153,Loyalty App,Consumer,2024-01-07,3082.25,Retention,2024-01-14
CA00154,Email Campaign 154,Social,Corporate,2025-03-08,8246.04,Conversion,2025-04-10
CA00155,Loyalty App Campaign 155,Email,Corporate,2023-03-14,5226.78,Conversion,2023-04-19
CA00156,Email Campaign 156,Flyer,Premium,2025-11-24,8881.01,Awareness,2025-12-29
CA00157,Display Campaign 157,Flyer,Student,2023-12-25,2088.86,Winback,2023-12-29
CA00158,Email Campaign 158,Search,Small Business,2024-04-08,3417.63,Conversion,2024-05-08
CA00159,Influencer Campaign 159,Flyer,Consumer,2024-12-21,12815.58,Conversion,2024-12-24
CA00160,Search Campaign 160,Search,All Customers,2024-03-24,2207.88,Winback,2024-04-16
CA00161,Display Campaign 161,Loyalty App,Small Business,2023-11-30,2072.27,Awareness,2023-12-15
CA00162,Email Campaign 162,Email,Consumer,2024-02-19,2352.44,Winback,2024-04-04
CA00163,Search Campaign 163,Email,Consumer,2023-12-08,3704.43,Conversion,2024-01-08
CA00164,Flyer Campaign 164,Flyer,Student,2025-03-27,16111.42,Conversion,2025-04-20
CA00165,Email Campaign 165,Social,Small Business,2024-01-05,2787.67,Retention,2024-01-29
CA00166,Influencer Campaign 166,Email,Premium,2025-03-17,7635.54,Conversion,2025-04-26
CA00167,Influencer Campaign 167,Search,Student,2023-03-07,3648.71,Winback,2023-03-19
CA00168,Search Campaign 168,Loyalty App,Premium,2023-09-16,9995.59,Retention,2023-10-11
CA00169,Search Campaign 169,Social,Corporate,2024-10-29,11280.83,Winback,2024-11-05
CA00170,Email Campaign 170,Display,Premium,2025-03-08,29733.55,Awareness,2025-03-29
CA00171,Social Campaign 171,Flyer,Consumer,2023-07-19,4839.22,Retention,2023-08-17
CA00172,Flyer Campaign 172,Search,Small Business,2024-08-22,15258.34,Awareness,2024-08-27
CA00173,Loyalty App Campaign 173,Search,Corporate,2023-12-26,3459.27,Retention,2024-02-01
CA00174,Email Campaign 174,Display,Small Business,2024-04-03,3965.27,Awareness,2024-05-05
CA00175,Search Campaign 175,Influencer,Consumer,2024-07-23,5649.81,Retention,2024-08-13
CA00176,Social Campaign 176,Flyer,Corporate,2023-10-05,5099.75,Retention,2023-11-16
CA00177,Search Campaign 177,Email,Small Business,2024-10-23,9285.6,Retention,2024-11-14
CA00178,Social Campaign 178,Flyer,Small Business,2023-04-01,23604.17,Winback,2023-04-17
CA00179,Social Campaign 179,Influencer,Premium,2023-07-31,3122.0,Awareness,2023-09-10
CA00180,Influencer Campaign 180,Influencer,Consumer,2025-08-16,12383.79,Awareness,2025-08-27
CA00181,Influencer Campaign 181,Influencer,All Customers,2023-06-08,8542.42,Awareness,2023-07-13
CA00182,Email Campaign 182,Email,All Customers,2023-09-23,19936.5,Winback,2023-10-05
CA00183,Search Campaign 183,Display,Corporate,2023-08-21,15737.89,Conversion,2023-09-04
CA00184,Email Campaign 184,Display,Consumer,2025-02-18,7189.31,Winback,2025-04-01
CA00185,Influencer Campaign 185,Email,Student,2024-03-17,2954.3,Retention,2024-03-29
CA00186,Social Campaign 186,Flyer,Student,2023-11-24,8610.27,Retention,2023-12-26
CA00187,Social Campaign 187,Social,Student,2024-09-16,1683.48,Conversion,2024-09-29
CA00188,Display Campaign 188,Social,Student,2024-10-03,15670.17,Conversion,2024-10-20
CA00189,Display Campaign 189,Display,All Customers,2023-01-14,28672.11,Winback,2023-01-17
CA00190,Influencer Campaign 190,Social,Small Business,2023-03-01,7834.62,Awareness,2023-04-09
CA00191,Flyer Campaign 191,Email,Corporate,2024-09-09,7917.91,Awareness,2024-10-05
CA00192,Flyer Campaign 192,Flyer,Corporate,2023-10-22,7137.01,Awareness,2023-10-30
CA00193,Display Campaign 193,Search,Small Business,2025-03-17,4595.83,Retention,2025-03-28
CA00194,Social Campaign 194,Flyer,Consumer,2023-10-10,4339.69,Awareness,2023-10-26
CA00195,Email Campaign 195,Flyer,Student,2024-03-03,3464.81,Conversion,2024-04-06
CA00196,Search Campaign 196,Social,Student,2023-08-24,7651.09,Awareness,2023-09-24
CA00197,Email Campaign 197,Social,Premium,2025-08-07,15625.86,Retention,2025-09-09
CA00198,Loyalty App Campaign 198,Loyalty App,All Customers,2024-12-22,4475.87,Retention,2025-01-15
CA00199,Loyalty App Campaign 199,Flyer,All Customers,2023-04-08,4759.89,Awareness,2023-05-20
CA00200,Email Campaign 200,Influencer,Student,2024-05-28,6643.52,Winback,2024-06-06
CA00201,Flyer Campaign 201,Search,Student,2024-01-26,7705.62,Winback,2024-02-12
CA00202,Flyer Campaign 202,Influencer,All Customers,2025-07-27,1887.65,Winback,2025-08-23
CA00203,Email Campaign 203,Display,Small Business,2025-07-29,5405.46,Conversion,2025-08-27
CA00204,Flyer Campaign 204,Display,Student,2023-09-15,3573.39,Conversion,2023-10-05
CA00205,Email Campaign 205,Display,Consumer,2025-03-30,7258.24,Awareness,2025-04-24
CA00206,Flyer Campaign 206,Flyer,All Customers,2023-08-18,11615.68,Retention,2023-09-13
CA00207,Search Campaign 207,Search,Student,2024-10-23,13574.77,Winback,2024-12-07
CA00208,Email Campaign 208,Influencer,Consumer,2025-06-15,5049.76,Conversion,2025-06-22
CA00209,Search Campaign 209,Social,Premium,2025-09-30,7389.91,Awareness,2025-10-03
CA00210,Social Campaign 210,Flyer,Corporate,2024-04-26,3724.31,Retention,2024-06-01
CA00211,Social Campaign 211,Search,Corporate,2024-06-13,8415.56,Retention,2024-07-04
CA00212,Display Campaign 212,Email,Premium,2025-04-05,1016.65,Winback,2025-05-04
CA00213,Influencer Campaign 213,Flyer,Corporate,2025-01-29,6933.53,Conversion,2025-02-28
CA00214,Influencer Campaign 214,Influencer,Student,2023-01-24,2740.91,Winback,2023-02-05
CA00215,Email Campaign 215,Social,Small Business,2025-08-14,4273.07,Retention,2025-08-29
CA00216,Flyer Campaign 216,Search,Corporate,2023-06-05,5035.94,Awareness,2023-07-11
CA00217,Flyer Campaign 217,Social,All Customers,2025-05-31,5349.79,Retention,2025-06-24
CA00218,Search Campaign 218,Display,Premium,2025-07-09,1555.05,Conversion,2025-07-21
CA00219,Email Campaign 219,Loyalty App,Consumer,2024-06-07,6267.61,Awareness,2024-06-15
CA00220,Loyalty App Campaign 220,Email,Student,2025-05-20,1392.27,Awareness,2025-06-10
CA00221,Display Campaign 221,Social,Small Business,2024-10-05,3122.81,Retention,2024-10-31
CA00222,Loyalty App Campaign 222,Flyer,Small Business,2025-10-17,5011.01,Awareness,2025-10-28
CA00223,Search Campaign 223,Loyalty App,Corporate,2025-04-27,2671.83,Conversion,2025-05-15
CA00224,Search Campaign 224,Search,Corporate,2025-01-19,1958.27,Retention,2025-02-24
CA00225,Social Campaign 225,Email,All Customers,2023-08-28,3847.32,Conversion,2023-09-16
CA00226,Email Campaign 226,Email,Premium,2023-02-23,15692.86,Awareness,2023-03-15
CA00227,Email Campaign 227,Flyer,Student,2023-11-01,3752.61,Winback,2023-11-09
CA00228,Display Campaign 228,Influencer,Premium,2025-10-12,1563.49,Winback,2025-10-25
CA00229,Influencer Campaign 229,Influencer,Small Business,2023-05-11,4750.56,Awareness,2023-05-24
CA00230,Loyalty App Campaign 230,Social,Premium,2023-01-04,4482.47,Awareness,2023-01-23
CA00231,Influencer Campaign 231,Social,Corporate,2025-07-12,6859.32,Retention,2025-08-16
CA00232,Social Campaign 232,Flyer,Small Business,2024-10-24,5920.21,Retention,2024-11-20
CA00233,Display Campaign 233,Social,All Customers,2025-01-11,10242.37,Awareness,2025-02-07
CA00234,Email Campaign 234,Influencer,Small Business,2025-08-19,3225.58,Winback,2025-09-21
CA00235,Flyer Campaign 235,Social,Student,2024-01-19,4766.57,Winback,2024-01-27
CA00236,Social Campaign 236,Display,Premium,2024-02-12,4588.82,Retention,2024-02-16
CA00237,Flyer Campaign 237,Email,Student,2023-03-28,7954.87,Awareness,2023-03-31
CA00238,Influencer Campaign 238,Social,Small Business,2024-05-17,6644.44,Awareness,2024-06-12
CA00239,Display Campaign 239,Loyalty App,Premium,2025-04-30,2148.08,Winback,2025-05-06
CA00240,Display Campaign 240,Display,All Customers,2024-04-03,20788.04,Awareness,2024-04-08
CA00241,Loyalty App Campaign 241,Influencer,Consumer,2023-04-10,6199.28,Awareness,2023-04-25
CA00242,Flyer Campaign 242,Display,Student,2025-11-19,8912.66,Conversion,2025-12-31
CA00243,Search Campaign 243,Display,Premium,2024-04-11,3539.25,Winback,2024-05-15
CA00244,Loyalty App Campaign 244,Search,All Customers,2024-09-28,8926.47,Retention,2024-11-09
CA00245,Loyalty App Campaign 245,Search,Small Business,2025-02-23,9275.87,Awareness,2025-03-21
CA00246,Social Campaign 246,Search,All Customers,2025-07-15,8141.23,Awareness,2025-08-08
CA00247,Email Campaign 247,Social,Student,2025-07-15,2174.18,Retention,2025-07-29
CA00248,Social Campaign 248,Loyalty App,Student,2024-06-28,2704.75,Retention,2024-07-27
CA00249,Email Campaign 249,Flyer,Consumer,2025-07-26,4820.82,Winback,2025-09-06
CA00250,Search Campaign 250,Social,Corporate,2024-06-01,7208.84,Conversion,2024-06-08
CA00251,Display Campaign 251,Influencer,Consumer,2024-09-03,13537.78,Winback,2024-10-09
CA00252,Email Campaign 252,Search,Consumer,2023-06-02,7518.75,Conversion,2023-06-15
CA00253,Display Campaign 253,Social,Corporate,2024-08-02,15159.89,Winback,2024-08-16
CA00254,Flyer Campaign 254,Influencer,Consumer,2024-10-10,15862.5,Retention,2024-10-15
CA00255,Display Campaign 255,Loyalty App,Corporate,2023-01-18,3679.74,Conversion,2023-02-26
CA00256,Influencer Campaign 256,Influencer,Premium,2023-07-23,4441.43,Winback,2023-08-19
CA00257,Loyalty App Campaign 257,Social,Small Business,2024-12-26,21289.44,Winback,2025-02-06
CA00258,Display Campaign 258,Loyalty App,Student,2025-10-10,13444.65,Awareness,2025-11-16
CA00259,Influencer Campaign 259,Search,Consumer,2025-02-01,10162.7,Retention,2025-03-17
CA00260,Email Campaign 260,Search,Small Business,2024-03-11,14692.88,Conversion,2024-04-20
CA00261,Email Campaign 261,Flyer,Small Business,2025-11-21,2425.6,Awareness,2025-11-25
CA00262,Search Campaign 262,Flyer,Student,2025-07-03,14190.82,Awareness,2025-07-11
CA00263,Influencer Campaign 263,Flyer,Small Business,2025-11-13,5901.37,Conversion,2025-11-25
CA00264,Loyalty App Campaign 264,Influencer,Corporate,2025-05-14,2802.53,Retention,2025-05-20
CA00265,Email Campaign 265,Influencer,Student,2024-06-07,3472.1,Retention,2024-07-08
CA00266,Social Campaign 266,Loyalty App,Consumer,2023-05-03,6585.31,Awareness,2023-05-22
CA00267,Email Campaign 267,Email,Small Business,2024-04-07,5396.08,Winback,2024-05-14
CA00268,Social Campaign 268,Flyer,Premium,2024-02-08,9772.02,Retention,2024-03-08
CA00269,Loyalty App Campaign 269,Email,Small Business,2024-08-21,12666.99,Winback,2024-09-24
CA00270,Search Campaign 270,Influencer,Small Business,2025-01-05,5611.44,Winback,2025-02-02
CA00271,Search Campaign 271,Influencer,All Customers,2025-09-07,4863.5,Awareness,2025-10-15
CA00272,Social Campaign 272,Display,Consumer,2025-11-24,6366.45,Retention,2026-01-05
CA00273,Social Campaign 273,Loyalty App,All Customers,2023-05-27,5317.03,Retention,2023-06-22
CA00274,Loyalty App Campaign 274,Flyer,All Customers,2024-07-11,3177.08,Winback,2024-08-05
CA00275,Email Campaign 275,Social,Premium,2025-08-27,2679.94,Conversion,2025-09-08
CA00276,Influencer Campaign 276,Loyalty App,Small Business,2025-10-10,15909.36,Conversion,2025-11-18
CA00277,Influencer Campaign 277,Influencer,Corporate,2025-02-07,40762.97,Conversion,2025-03-16
CA00278,Flyer Campaign 278,Display,All Customers,2024-02-01,3344.03,Retention,2024-03-14
CA00279,Flyer Campaign 279,Social,Student,2025-04-11,2926.71,Awareness,2025-05-24
CA00280,Influencer Campaign 280,Loyalty App,Consumer,2024-03-15,6916.26,Winback,2024-03-20
CA00281,Flyer Campaign 281,Flyer,Student,2025-02-04,5113.64,Winback,2025-02-22
CA00282,Influencer Campaign 282,Search,Corporate,2025-11-24,6214.7,Retention,2025-12-09
CA00283,Email Campaign 283,Influencer,All Customers,2025-10-01,14609.2,Retention,2025-10-26
CA00284,Social Campaign 284,Search,Corporate,2023-12-25,15570.15,Retention,2024-01-31
CA00285,Loyalty App Campaign 285,Search,Consumer,2025-07-05,8847.15,Retention,2025-07-09
CA00286,Loyalty App Campaign 286,Flyer,Small Business,2024-02-15,5144.08,Retention,2024-03-07
CA00287,Flyer Campaign 287,Social,Consumer,2024-04-13,2522.1,Conversion,2024-05-27
CA00288,Display Campaign 288,Influencer,Premium,2023-09-21,10175.71,Retention,2023-11-03
CA00289,Influencer Campaign 289,Flyer,Consumer,2024-04-01,1384.74,Retention,2024-04-25
CA00290,Social Campaign 290,Flyer,Small Business,2025-03-05,4552.41,Conversion,2025-03-10
CA00291,Social Campaign 291,Email,Consumer,2023-06-23,24872.7,Conversion,2023-07-19
CA00292,Search Campaign 292,Influencer,Small Business,2023-12-18,8127.54,Winback,2024-01-11
CA00293,Flyer Campaign 293,Email,Consumer,2025-07-09,4037.08,Winback,2025-08-09
CA00294,Loyalty App Campaign 294,Loyalty App,Premium,2025-08-03,4476.34,Awareness,2025-09-04
