product_id,product_name,category,subcategory,supplier,unit_cost,list_price,product_tier,product_status
PR00122,Printers Item 122,Technology,Printers,Supplier R,61.78,165.94,C,Active
PR00123,Fresh Item 123,Grocery,Fresh,Supplier G,4.12,7.29,C,Active
PR00124,Printers Item 124,Technology,Printers,Supplier M,73.11,120.41,A,Discontinued
PR00125,Binders Item 125,Office Supplies,Binders,Supplier Q,4.25,8.35,B,Active
PR00126,Pantry Item 126,Grocery,Pantry,Supplier E,4.26,6.67,A,Active
PR00127,Shelving Item 127,Furniture,Shelving,Supplier A,89.76,171.33,A,Active
PR00128,Envelopes Item 128,Office Supplies,Envelopes,Supplier N,4.36,6.93,B,Active
PR00129,Fresh Item 129,Grocery,Fresh,Supplier D,3.83,10.45,A,Active
PR00130,Pantry Item 130,Grocery,Pantry,Supplier L,2.69,6.05,B,Active
PR00131,Laptops Item 131,Technology,Laptops,Supplier E,87.55,197.49,A,Active
PR00132,Kids Item 132,Apparel,Kids,Supplier C,19.62,32.43,B,Discontinued
PR00133,Monitors Item 133,Technology,Monitors,Supplier M,117.21,174.52,A,Active
PR00134,Kids Item 134,Apparel,Kids,Supplier R,15.99,38.06,B,Active
PR00135,Beverages Item 135,Grocery,Beverages,Supplier R,2.58,6.74,C,Active
PR00136,Printers Item 136,Technology,Printers,Supplier J,229.21,346.77,B,Active
PR00137,Shoes Item 137,Apparel,Shoes,Supplier Q,30.41,47.68,B,Active
PR00138,Lighting Item 138,Home,Lighting,Supplier A,100.92,273.51,C,Active
PR00139,Shoes Item 139,Apparel,Shoes,Supplier O,15.83,24.35,B,Active
PR00140,Binders Item 140,Office Supplies,Binders,Supplier G,5.16,11.98,A,Active
PR00141,Snacks Item 141,Grocery,Snacks,Supplier D,2.18,5.55,B,Active
PR00142,Fresh Item 142,Grocery,Fresh,Supplier C,1.53,2.58,B,Active
PR00143,Kids Item 143,Apparel,Kids,Supplier B,9.25,15.44,A,Active
PR00144,Decor Item 144,Home,Decor,Supplier B,19.23,24.71,C,Active
PR00145,Tablets Item 145,Technology,Tablets,Supplier E,90.65,186.69,A,Active
PR00146,Tablets Item 146,Technology,Tablets,Supplier K,287.45,566.23,C,Active
PR00147,Tables Item 147,Furniture,Tables,Supplier Q,35.05,94.9,B,Active
PR00148,Paper Item 148,Office Supplies,Paper,Supplier L,8.22,16.58,B,Active
PR00149,Printers Item 149,Technology,Printers,Supplier H,134.65,264.23,A,Active
PR00150,Men Item 150,Apparel,Men,Supplier M,19.92,51.78,A,Active
PR00151,Smart Home Item 151,Technology,Smart Home,Supplier P,53.13,109.44,C,Discontinued
PR00152,Laptops Item 152,Technology,Laptops,Supplier K,124.59,269.02,B,Active
PR00153,Men Item 153,Apparel,Men,Supplier F,18.45,41.26,C,Active
PR00154,Storage Item 154,Furniture,Storage,Supplier P,214.54,521.79,B,Active
PR00155,Desks Item 155,Furniture,Desks,Supplier B,32.92,83.69,C,Active
PR00156,Laptops Item 156,Technology,Laptops,Supplier A,423.19,1008.59,C,Active
PR00157,Pantry Item 157,Grocery,Pantry,Supplier C,2.91,6.05,B,Active
PR00158,Shoes Item 158,Apparel,Shoes,Supplier I,15.01,29.12,A,Active
PR00159,Writing Item 159,Office Supplies,Writing,Supplier A,14.61,30.98,B,Active
PR00160,Paper Item 160,Office Supplies,Paper,Supplier B,6.04,9.07,B,Active
PR00161,Lighting Item 161,Home,Lighting,Supplier B,38.16,95.59,A,Active
PR00162,Laptops Item 162,Technology,Laptops,Supplier B,46.77,110.39,C,Active
PR00163,Kitchen Item 163,Home,Kitchen,Supplier C,19.14,35.36,B,Active
PR00164,Tablets Item 164,Technology,Tablets,Supplier D,154.8,380.66,B,Active
PR00165,Frozen Item 165,Grocery,Frozen,Supplier H,2.1,5.7,B,Active
PR00166,Laptops Item 166,Technology,Laptops,Supplier B,129.25,304.56,A,Active
PR00167,Accessories Item 167,Apparel,Accessories,Supplier E,10.75,29.51,C,Active
PR00168,Beverages Item 168,Grocery,Beverages,Supplier F,13.05,30.1,C,Active
PR00169,Snacks Item 169,Grocery,Snacks,Supplier N,10.82,20.02,C,Active
PR00170,Shelving Item 170,Furniture,Shelving,Supplier H,241.66,370.62,C,Active
PR00171,Kids Item 171,Apparel,Kids,Supplier P,10.76,15.28,C,Active
PR00172,Accessories Item 172,Technology,Accessories,Supplier P,68.59,188.76,B,Active
PR00173,Chairs Item 173,Furniture,Chairs,Supplier F,28.36,56.07,B,Active
PR00174,Binders Item 174,Office Supplies,Binders,Supplier Q,9.77,26.98,A,Discontinued
PR00175,Decor Item 175,Home,Decor,Supplier B,29.92,77.67,A,Active
PR00176,Decor Item 176,Home,Decor,Supplier J,37.48,94.79,C,Active
PR00177,Art Item 177,Office Supplies,Art,Supplier P,13.51,25.62,B,Active
PR00178,Storage Item 178,Furniture,Storage,Supplier E,136.56,351.75,A,Active
PR00179,Bedding Item 179,Home,Bedding,Supplier G,23.97,37.41,A,Active
PR00180,Envelopes Item 180,Office Supplies,Envelopes,Supplier H,4.83,6.66,A,Active
PR00181,Tablets Item 181,Technology,Tablets,Supplier B,234.49,651.24,C,Active
PR00182,Lighting Item 182,Home,Lighting,Supplier P,17.28,45.84,A,Active
PR00183,Women Item 183,Apparel,Women,Supplier O,9.93,17.88,B,Active
PR00184,Art Item 184,Office Supplies,Art,Supplier R,4.83,11.34,A,Active
PR00185,Monitors Item 185,Technology,Monitors,Supplier K,59.13,134.06,A,Active
PR00186,Desks Item 186,Furniture,Desks,Supplier E,118.37,240.22,B,Active
PR00187,Shoes Item 187,Apparel,Shoes,Supplier A,16.62,34.15,B,Active
PR00188,Laptops Item 188,Technology,Laptops,Supplier L,80.42,117.5,B,Active
PR00189,Labels Item 189,Office Supplies,Labels,Supplier C,7.48,9.73,C,Active
PR00190,Chairs Item 190,Furniture,Chairs,Supplier E,39.79,68.03,C,Active
PR00191,Tables Item 191,Furniture,Tables,Supplier E,90.96,165.76,C,Active
PR00192,Cleaning Item 192,Home,Cleaning,Supplier K,21.11,34.31,C,Discontinued
PR00193,Accessories Item 193,Apparel,Accessories,Supplier P,44.35,118.14,A,Active
PR00194,Envelopes Item 194,Office Supplies,Envelopes,Supplier C,10.19,26.6,B,Active
PR00195,Paper Item 195,Office Supplies,Paper,Supplier H,9.35,25.77,C,Active
PR00196,Storage Item 196,Furniture,Storage,Supplier G,64.08,122.34,C,Active
PR00197,Smart Home Item 197,Technology,Smart Home,Supplier D,112.17,165.38,C,Active
PR00198,Cleaning Item 198,Home,Cleaning,Supplier C,20.54,53.22,C,Active
PR00199,Desks Item 199,Furniture,Desks,Supplier R,75.9,135.68,C,Active
PR00200,Art Item 200,Office Supplies,Art,Supplier P,8.37,21.61,B,Active
PR00201,Desks Item 201,Furniture,Desks,Supplier R,101.06,164.05,C,Active
PR00202,Binders Item 202,Office Supplies,Binders,Supplier J,6.59,12.05,C,Active
PR00203,Shelving Item 203,Furniture,Shelving,Supplier Q,43.3,71.36,B,Active
PR00204,Kitchen Item 204,Home,Kitchen,Supplier H,27.56,60.53,A,Active
PR00205,Printers Item 205,Technology,Printers,Supplier D,46.2,72.67,B,Active
PR00206,Pantry Item 206,Grocery,Pantry,Supplier O,5.69,9.99,C,Active
PR00207,Men Item 207,Apparel,Men,Supplier G,23.54,65.08,A,Active
PR00208,Bedding Item 208,Home,Bedding,Supplier R,17.8,31.66,B,Active
PR00209,Writing Item 209,Office Supplies,Writing,Supplier F,3.67,8.39,C,Active
PR00210,Bedding Item 210,Home,Bedding,Supplier N,19.26,27.79,B,Active
PR00211,Decor Item 211,Home,Decor,Supplier I,63.11,87.57,A,Active
PR00212,Cleaning Item 212,Home,Cleaning,Supplier F,33.84,85.88,A,Active
PR00213,Beverages Item 213,Grocery,Beverages,Supplier Q,5.12,10.57,C,Active
PR00214,Men Item 214,Apparel,Men,Supplier L,12.21,22.43,B,Active
PR00215,Beverages Item 215,Grocery,Beverages,Supplier E,1.84,4.46,A,Active
PR00216,Shoes Item 216,Apparel,Shoes,Supplier H,12.83,24.07,B,Active
PR00217,Paper Item 217,Office Supplies,Paper,Supplier O,5.53,9.3,C,Active
PR00218,Accessories Item 218,Apparel,Accessories,Supplier P,14.4,35.36,C,Active
PR00219,Cleaning Item 219,Home,Cleaning,Supplier Q,10.43,14.16,C,Active
PR00220,Labels Item 220,Office Supplies,Labels,Supplier B,4.09,9.08,C,Discontinued
PR00221,Storage Item 221,Furniture,Storage,Supplier J,89.79,185.53,B,Active
PR00222,Pantry Item 222,Grocery,Pantry,Supplier O,4.38,10.73,B,Active
PR00223,Accessories Item 223,Technology,Accessories,Supplier K,78.89,196.32,A,Active
PR00224,Snacks Item 224,Grocery,Snacks,Supplier O,1.61,4.4,B,Active
PR00225,Smart Home Item 225,Technology,Smart Home,Supplier F,157.13,338.06,B,Active
PR00226,Printers Item 226,Technology,Printers,Supplier K,74.1,102.29,C,Active
PR00227,Chairs Item 227,Furniture,Chairs,Supplier C,89.6,148.69,C,Active
PR00228,Monitors Item 228,Technology,Monitors,Supplier C,70.66,155.44,C,Active
PR00229,Men Item 229,Apparel,Men,Supplier L,22.34,28.06,C,Discontinued
PR00230,Decor Item 230,Home,Decor,Supplier D,36.53,64.94,B,Active
PR00231,Accessories Item 231,Technology,Accessories,Supplier L,165.78,254.57,A,Active
PR00232,Men Item 232,Apparel,Men,Supplier I,8.14,12.83,C,Active
PR00233,Men Item 233,Apparel,Men,Supplier J,35.02,57.02,C,Active
PR00234,Binders Item 234,Office Supplies,Binders,Supplier L,26.94,65.59,B,Active
PR00235,Binders Item 235,Office Supplies,Binders,Supplier R,6.09,10.81,C,Active
PR00236,Tables Item 236,Furniture,Tables,Supplier P,85.2,180.56,C,Active
PR00237,Storage Item 237,Furniture,Storage,Supplier O,75.9,115.79,A,Active
PR00238,Fresh Item 238,Grocery,Fresh,Supplier E,3.21,7.61,C,Active
PR00239,Pantry Item 239,Grocery,Pantry,Supplier M,3.56,5.07,C,Active
PR00240,Accessories Item 240,Apparel,Accessories,Supplier D,21.24,41.42,B,Active
PR00241,Art Item 241,Office Supplies,Art,Supplier K,5.05,7.93,B,Active
PR00242,Shelving Item 242,Furniture,Shelving,Supplier E,99.2,200.74,A,Active
PR00243,Shelving Item 243,Furniture,Shelving,Supplier F,205.96,387.22,B,Active
PR00244,Snacks Item 244,Grocery,Snacks,Supplier A,6.23,9.59,B,Active
PR00245,Writing Item 245,Office Supplies,Writing,Supplier E,16.5,27.05,B,Discontinued
PR00246,Labels Item 246,Office Supplies,Labels,Supplier O,16.14,40.75,A,Active
PR00247,Paper Item 247,Office Supplies,Paper,Supplier O,2.64,6.34,B,Discontinued
PR00248,Smart Home Item 248,Technology,Smart Home,Supplier G,76.75,97.57,C,Active
PR00249,Snacks Item 249,Grocery,Snacks,Supplier K,1.75,2.63,C,Active
PR00250,Laptops Item 250,Technology,Laptops,Supplier J,73.02,122.24,C,Active
PR00251,Lighting Item 251,Home,Lighting,Supplier R,71.33,129.8,B,Active
PR00252,Shelving Item 252,Furniture,Shelving,Supplier F,29.06,41.52,A,Discontinued
PR00253,Accessories Item 253,Apparel,Accessories,Supplier I,30.08,77.62,C,Active
PR00254,Lighting Item 254,Home,Lighting,Supplier M,15.06,41.7,C,Active
PR00255,Cleaning Item 255,Home,Cleaning,Supplier P,50.17,127.84,C,Active
PR00256,Pantry Item 256,Grocery,Pantry,Supplier N,6.27,8.14,C,Active
PR00257,Storage Item 257,Furniture,Storage,Supplier O,71.82,113.83,A,Active
PR00258,Labels Item 258,Office Supplies,Labels,Supplier I,10.51,20.61,C,Active
PR00259,Binders Item 259,Office Supplies,Binders,Supplier F,6.93,13.63,C,Active
PR00260,Decor Item 260,Home,Decor,Supplier B,18.8,49.19,A,Active
PR00261,Tablets Item 261,Technology,Tablets,Supplier F,116.49,287.13,A,Active
PR00262,Tablets Item 262,Technology,Tablets,Supplier P,112.84,268.03,A,Active
PR00263,Fresh Item 263,Grocery,Fresh,Supplier N,2.5,6.02,B,Active
PR00264,Kitchen Item 264,Home,Kitchen,Supplier J,15.8,35.34,C,Discontinued
PR00265,Envelopes Item 265,Office Supplies,Envelopes,Supplier I,7.61,11.06,C,Active
PR00266,Lighting Item 266,Home,Lighting,Supplier B,22.23,32.63,B,Active
PR00267,Envelopes Item 267,Office Supplies,Envelopes,Supplier B,10.2,16.87,B,Active
PR00268,Accessories Item 268,Apparel,Accessories,Supplier B,15.72,42.53,B,Active
PR00269,Men Item 269,Apparel,Men,Supplier A,16.1,43.79,B,Active
PR00270,Desks Item 270,Furniture,Desks,Supplier H,91.97,251.56,A,Active
PR00271,Paper Item 271,Office Supplies,Paper,Supplier B,3.8,6.01,A,Active
PR00272,Accessories Item 272,Apparel,Accessories,Supplier H,10.38,21.54,A,Active
PR00273,Beverages Item 273,Grocery,Beverages,Supplier R,3.12,4.6,A,Active
PR00274,Art Item 274,Office Supplies,Art,Supplier R,4.17,10.82,A,Active
PR00275,Pantry Item 275,Grocery,Pantry,Supplier R,4.0,5.71,A,Active
PR00276,Accessories Item 276,Technology,Accessories,Supplier M,56.95,88.2,C,Active
PR00277,Lighting Item 277,Home,Lighting,Supplier C,27.78,65.78,A,Active
PR00278,Men Item 278,Apparel,Men,Supplier L,39.12,57.19,A,Discontinued
PR00279,Shelving Item 279,Furniture,Shelving,Supplier H,75.5,183.09,B,Active
PR00280,Decor Item 280,Home,Decor,Supplier G,18.17,43.98,B,Active
PR00281,Printers Item 281,Technology,Printers,Supplier K,121.17,210.37,C,Active
PR00282,Desks Item 282,Furniture,Desks,Supplier O,84.11,115.26,A,Active
PR00283,Kids Item 283,Apparel,Kids,Supplier B,7.89,18.36,C,Discontinued
PR00284,Laptops Item 284,Technology,Laptops,Supplier N,124.55,172.14,B,Active
PR00285,Writing Item 285,Office Supplies,Writing,Supplier M,17.9,36.43,B,Active
PR00286,Beverages Item 286,Grocery,Beverages,Supplier G,3.99,5.65,B,Active
PR00287,Labels Item 287,Office Supplies,Labels,Supplier B,4.51,7.79,C,Active
PR00288,Fresh Item 288,Grocery,Fresh,Supplier I,4.33,10.02,B,Active
PR00289,Beverages Item 289,Grocery,Beverages,Supplier I,4.97,7.74,B,Active
PR00290,Envelopes Item 290,Office Supplies,Envelopes,Supplier B,6.01,9.96,B,Active
PR00291,Smart Home Item 291,Technology,Smart Home,Supplier R,135.91,264.91,B,Active
PR00292,Printers Item 292,Technology,Printers,Supplier F,127.63,259.64,C,Active
PR00293,Smart Home Item 293,Technology,Smart Home,Supplier L,101.9,215.47,C,Active
PR00294,Accessories Item 294,Technology,Accessories,Supplier E,87.63,135.03,B,Active
PR00295,Writing Item 295,Office Supplies,Writing,Supplier R,9.73,24.55,B,Active
PR00296,Accessories Item 296,Apparel,Accessories,Supplier A,30.06,67.42,A,Active
PR00297,Snacks Item 297,Grocery,Snacks,Supplier N,1.64,3.9,B,Active
PR00298,Kids Item 298,Apparel,Kids,Supplier B,14.69,21.91,A,Active
PR00299,Bedding Item 299,Home,Bedding,Supplier Q,10.38,23.5,A,Active
PR00300,Shelving Item 300,Furniture,Shelving,Supplier J,71.24,161.83,B,Active
PR00301,Printers Item 301,Technology,Printers,Supplier L,140.34,226.25,A,Discontinued
PR00302,Binders Item 302,Office Supplies,Binders,Supplier G,4.82,12.84,A,Active
PR00303,Snacks Item 303,Grocery,Snacks,Supplier A,2.61,3.3,C,Discontinued
PR00304,Cleaning Item 304,Home,Cleaning,Supplier P,25.71,56.82,B,Active
PR00305,Kitchen Item 305,Home,Kitchen,Supplier H,53.17,99.71,C,Active
PR00306,Fresh Item 306,Grocery,Fresh,Supplier R,2.56,3.93,C,Active
PR00307,Writing Item 307,Office Supplies,Writing,Supplier D,25.54,32.49,C,Active
PR00308,Shoes Item 308,Apparel,Shoes,Supplier H,27.25,75.52,B,Active
PR00309,Kids Item 309,Apparel,Kids,Supplier P,16.48,30.57,B,Active
PR00310,Fresh Item 310,Grocery,Fresh,Supplier E,6.85,9.69,A,Active
PR00311,Accessories Item 311,Apparel,Accessories,Supplier P,32.89,68.82,B,Active
PR00312,Tables Item 312,Furniture,Tables,Supplier F,40.96,61.22,A,Active
PR00313,Kids Item 313,Apparel,Kids,Supplier Q,22.24,59.94,A,Active
PR00314,Writing Item 314,Office Supplies,Writing,Supplier O,9.24,21.73,A,Active
PR00315,Frozen Item 315,Grocery,Frozen,Supplier L,5.52,12.52,A,Active
PR00316,Beverages Item 316,Grocery,Beverages,Supplier P,5.54,12.29,A,Active
PR00317,Fresh Item 317,Grocery,Fresh,Supplier H,4.0,9.71,A,Active
PR00318,Accessories Item 318,Technology,Accessories,Supplier I,165.59,384.28,C,Active
PR00319,Beverages Item 319,Grocery,Beverages,Supplier I,5.95,15.73,B,Active
PR00320,Monitors Item 320,Technology,Monitors,Supplier G,161.46,294.44,C,Active
PR00321,Decor Item 321,Home,Decor,Supplier J,38.87,72.24,C,Active
PR00322,Shelving Item 322,Furniture,Shelving,Supplier G,73.69,160.82,B,Active
PR00323,Laptops Item 323,Technology,Laptops,Supplier I,104.28,268.43,A,Active
PR00324,Shoes Item 324,Apparel,Shoes,Supplier R,16.79,33.12,C,Active
PR00325,Envelopes Item 325,Office Supplies,Envelopes,Supplier H,6.46,10.77,A,Active
PR00326,Shoes Item 326,Apparel,Shoes,Supplier R,12.89,35.97,C,Active
PR00327,Kitchen Item 327,Home,Kitchen,Supplier G,38.14,84.31,B,Active
