return_id,order_id,order_line_id,return_date,return_reason,refund_amount,resolution
RE0000078,OR0042859,OL000099803,2024-09-22,Wrong Item,12.74,Exchange
RE0000079,OR0039357,OL000091644,2025-01-13,Late Delivery,4.77,Store Credit
RE0000080,OR0080205,OL000186977,2025-02-10,Damaged,432.58,Refunded
RE0000081,OR0068521,OL000159927,2025-01-01,Wrong Item,178.85,Refunded
RE0000082,OR0105067,OL000245195,2024-05-14,Price Match,10.54,Refunded
RE0000083,OR0102706,OL000239568,2023-07-26,Wrong Item,11.37,Exchange
RE0000084,OR0083368,OL000194300,2024-12-31,Damaged,86.3,Store Credit
RE0000085,OR0128243,OL000299063,2023-06-11,Quality Issue,23.77,Refunded
RE0000086,OR0096047,OL000224058,2024-03-27,Price Match,343.57,Exchange
RE0000087,OR0127237,OL000296723,2024-12-26,Damaged,27.92,Refunded
RE0000088,OR0095987,OL000223920,2024-06-19,Late Delivery,15.77,Refunded
RE0000089,OR0015017,OL000035100,2024-02-01,Damaged,193.43,Exchange
RE0000090,OR0051671,OL000120493,2024-07-24,Changed Mind,16.58,Store Credit
RE0000091,OR0096554,OL000225239,2023-08-17,Damaged,241.49,Store Credit
RE0000092,OR0110405,OL000257589,2025-10-15,Changed Mind,65.64,Store Credit
RE0000093,OR0028413,OL000066357,2024-06-25,Late Delivery,24.69,Refunded
RE0000094,OR0092081,OL000214844,2024-03-25,Wrong Item,57.26,Exchange
RE0000095,OR0108627,OL000253441,2025-04-27,Duplicate Order,79.74,Refunded
RE0000096,OR0049278,OL000114737,2024-02-17,Late Delivery,38.01,Refunded
RE0000097,OR0091348,OL000213135,2023-05-01,Damaged,42.28,Refunded
RE0000098,OR0016512,OL000038575,2023-05-29,Price Match,41.24,Exchange
RE0000099,OR0099667,OL000232498,2023-08-19,Duplicate Order,144.46,Refunded
RE0000100,OR0026764,OL000062477,2023-08-03,Duplicate Order,34.75,Store Credit
RE0000101,OR0035307,OL000082236,2025-01-11,Damaged,29.35,Refunded
RE0000102,OR0018695,OL000043622,2023-08-27,Wrong Item,129.79,Refunded
RE0000103,OR0054518,OL000127202,2024-05-18,Changed Mind,7.27,Refunded
RE0000104,OR0038241,OL000089079,2024-12-15,Price Match,1481.69,Refunded
RE0000105,OR0078615,OL000183336,2024-11-22,Damaged,24.74,Exchange
RE0000106,OR0049725,OL000115782,2024-09-07,Damaged,244.34,Exchange
RE0000107,OR0122848,OL000286461,2025-10-28,Price Match,10.83,Refunded
RE0000108,OR0071669,OL000167238,2025-01-28,Changed Mind,24.32,Refunded
RE0000109,OR0100675,OL000234787,2026-01-08,Price Match,58.0,Refunded
RE0000110,OR0122958,OL000286732,2024-04-28,Wrong Item,46.87,Refunded
RE0000111,OR0018141,OL000042270,2023-06-29,Quality Issue,26.29,Refunded
RE0000112,OR0016379,OL000038270,2024-10-24,Wrong Item,27.31,Refunded
RE0000113,OR0024266,OL000056648,2023-12-04,Damaged,3.64,Refunded
RE0000114,OR0043276,OL000100778,2025-02-12,Damaged,21.04,Refunded
RE0000115,OR0031267,OL000072973,2025-04-06,Changed Mind,4.36,Store Credit
RE0000116,OR0010679,OL000025117,2024-07-27,Wrong Item,6.23,Store Credit
RE0000117,OR0028698,OL000067041,2024-12-11,Quality Issue,34.47,Store Credit
RE0000118,OR0048100,OL000112032,2024-05-23,Changed Mind,161.66,Refunded
RE0000119,OR0045676,OL000106269,2024-08-21,Changed Mind,1569.33,Refunded
RE0000120,OR0118440,OL000276186,2025-01-25,Duplicate Order,28.65,Refunded
RE0000121,OR0084670,OL000197408,2024-12-15,Wrong Item,8.72,Exchange
RE0000122,OR0111070,OL000259105,2024-09-18,Price Match,10.52,Refunded
RE0000123,OR0019289,OL000045021,2024-07-11,Price Match,247.17,Refunded
RE0000124,OR0115209,OL000268787,2025-08-04,Duplicate Order,368.33,Refunded
RE0000125,OR0048123,OL000112089,2024-07-23,Late Delivery,62.45,Refunded
RE0000126,OR0025673,OL000059989,2023-12-20,Duplicate Order,278.37,Refunded
RE0000127,OR0070771,OL000165181,2024-12-19,Late Delivery,2.03,Refunded
RE0000128,OR0000007,OL000000017,2023-11-28,Wrong Item,115.01,Refunded
RE0000129,OR0116412,OL000271569,2025-07-03,Price Match,119.15,Store Credit
RE0000130,OR0045043,OL000104846,2023-12-16,Late Delivery,44.59,Refunded
RE0000131,OR0087937,OL000205077,2023-11-20,Wrong Item,553.01,Refunded
RE0000132,OR0015721,OL000036742,2025-04-26,Late Delivery,675.35,Exchange
RE0000133,OR0008984,OL000021133,2025-05-20,Changed Mind,18.78,Refunded
RE0000134,OR0106850,OL000249356,2025-06-23,Duplicate Order,106.71,Store Credit
RE0000135,OR0115219,OL000268811,2025-06-18,Wrong Item,46.58,Exchange
RE0000136,OR0107059,OL000249873,2024-01-03,Damaged,76.01,Refunded
RE0000137,OR0042370,OL000098677,2023-06-16,Wrong Item,66.4,Refunded
RE0000138,OR0033684,OL000078522,2024-09-04,Wrong Item,703.71,Refunded
RE0000139,OR0055331,OL000129188,2024-04-09,Damaged,6.94,Refunded
RE0000140,OR0125230,OL000292060,2025-01-07,Late Delivery,1045.53,Refunded
RE0000141,OR0088336,OL000206038,2024-04-04,Late Delivery,42.33,Refunded
RE0000142,OR0044076,OL000102681,2025-06-17,Damaged,27.39,Store Credit
RE0000143,OR0001446,OL000003411,2023-03-25,Wrong Item,9.29,Refunded
RE0000144,OR0002935,OL000006916,2025-10-10,Wrong Item,80.01,Exchange
RE0000145,OR0116793,OL000272404,2025-06-17,Damaged,23.76,Refunded
RE0000146,OR0042763,OL000099587,2024-09-25,Changed Mind,348.23,Refunded
RE0000147,OR0073290,OL000171027,2025-09-16,Wrong Item,194.42,Refunded
RE0000148,OR0120672,OL000281335,2023-12-29,Damaged,28.27,Store Credit
RE0000149,OR0116682,OL000272175,2025-09-25,Late Delivery,102.69,Store Credit
RE0000150,OR0119356,OL000278261,2024-01-30,Damaged,83.18,Refunded
RE0000151,OR0124294,OL000289915,2025-01-24,Price Match,9.58,Store Credit
RE0000152,OR0104704,OL000244352,2023-08-24,Quality Issue,8.84,Refunded
RE0000153,OR0008739,OL000020547,2024-09-30,Late Delivery,5.57,Refunded
RE0000154,OR0111969,OL000261194,2025-04-13,Quality Issue,207.24,Store Credit
RE0000155,OR0065059,OL000151922,2023-11-06,Changed Mind,12.77,Refunded
RE0000156,OR0128783,OL000300328,2026-01-05,Changed Mind,92.07,Refunded
RE0000157,OR0028882,OL000067438,2024-08-08,Duplicate Order,730.57,Store Credit
RE0000158,OR0038370,OL000089401,2025-08-17,Damaged,11.97,Refunded
RE0000159,OR0062006,OL000144714,2025-02-07,Price Match,13.38,Refunded
RE0000160,OR0086944,OL000202757,2025-03-16,Price Match,89.75,Exchange
RE0000161,OR0057137,OL000133469,2023-06-03,Duplicate Order,49.63,Refunded
RE0000162,OR0100754,OL000234984,2024-06-08,Price Match,235.36,Refunded
RE0000163,OR0027940,OL000065249,2025-09-05,Wrong Item,6.87,Refunded
RE0000164,OR0055137,OL000128690,2025-06-03,Wrong Item,155.21,Refunded
RE0000165,OR0035508,OL000082724,2023-06-06,Damaged,8.47,Refunded
RE0000166,OR0121015,OL000282200,2024-10-09,Quality Issue,6.17,Refunded
RE0000167,OR0010424,OL000024510,2023-12-07,Wrong Item,6.93,Refunded
RE0000168,OR0028579,OL000066736,2024-09-30,Changed Mind,443.49,Refunded
RE0000169,OR0004048,OL000009490,2023-06-05,Price Match,7.66,Exchange
RE0000170,OR0122079,OL000284686,2025-08-15,Price Match,1.1,Refunded
RE0000171,OR0077511,OL000180778,2025-10-28,Quality Issue,99.67,Refunded
RE0000172,OR0072208,OL000168521,2024-04-04,Duplicate Order,18.53,Exchange
RE0000173,OR0093755,OL000218810,2025-08-10,Wrong Item,70.79,Refunded
RE0000174,OR0124906,OL000291310,2023-03-08,Duplicate Order,108.31,Refunded
RE0000175,OR0113866,OL000265619,2025-07-28,Changed Mind,37.0,Store Credit
RE0000176,OR0046923,OL000109287,2023-05-15,Wrong Item,518.63,Refunded
RE0000177,OR0038627,OL000089975,2024-09-05,Late Delivery,30.28,Refunded
RE0000178,OR0088560,OL000206548,2024-08-09,Duplicate Order,198.19,Store Credit
RE0000179,OR0029828,OL000069678,2025-04-23,Damaged,93.19,Refunded
RE0000180,OR0039249,OL000091384,2023-12-05,Late Delivery,59.93,Store Credit
RE0000181,OR0034229,OL000079740,2023-06-14,Changed Mind,709.91,Refunded
RE0000182,OR0046521,OL000108285,2025-01-25,Damaged,35.34,Refunded
RE0000183,OR0027211,OL000063501,2025-07-30,Late Delivery,933.46,Refunded
RE0000184,OR0088024,OL000205270,2024-08-30,Late Delivery,24.23,Exchange
RE0000185,OR0054411,OL000126928,2023-04-03,Late Delivery,48.45,Refunded
RE0000186,OR0106483,OL000248523,2023-12-03,Damaged,7.38,Refunded
RE0000187,OR0081873,OL000190876,2024-10-08,Wrong Item,254.92,Refunded
RE0000188,OR0040688,OL000094789,2025-07-23,Damaged,22.28,Store Credit
RE0000189,OR0012490,OL000029322,2025-07-21,Quality Issue,81.5,Exchange
RE0000190,OR0054836,OL000127987,2025-10-07,Duplicate Order,5.39,Exchange
RE0000191,OR0095171,OL000222045,2025-08-07,Quality Issue,188.88,Store Credit
RE0000192,OR0009036,OL000021263,2025-02-22,Late Delivery,98.72,Refunded
RE0000193,OR0110769,OL000258439,2025-07-22,Price Match,84.15,Refunded
RE0000194,OR0112465,OL000262363,2024-05-02,Quality Issue,312.95,Refunded
RE0000195,OR0113088,OL000263821,2024-11-02,Damaged,105.34,Refunded
RE0000196,OR0051225,OL000119419,2025-09-09,Changed Mind,10.81,Store Credit
RE0000197,OR0096292,OL000224608,2023-09-09,Price Match,8.73,Refunded
RE0000198,OR0044437,OL000103448,2023-06-13,Duplicate Order,27.28,Exchange
RE0000199,OR0053694,OL000125290,2025-09-07,Damaged,1.89,Store Credit
RE0000200,OR0041353,OL000096316,2023-05-04,Quality Issue,48.59,Refunded
RE0000201,OR0057350,OL000133931,2026-01-31,Wrong Item,15.75,Exchange
RE0000202,OR0125409,OL000292461,2023-11-02,Wrong Item,372.77,Refunded
RE0000203,OR0059204,OL000138201,2025-03-05,Changed Mind,18.89,Refunded
RE0000204,OR0017466,OL000040779,2024-06-13,Damaged,16.48,Refunded
RE0000205,OR0127457,OL000297232,2024-01-16,Quality Issue,270.52,Refunded
RE0000206,OR0103317,OL000241021,2023-12-02,Changed Mind,24.7,Exchange
RE0000207,OR0009609,OL000022603,2024-03-11,Wrong Item,60.49,Refunded
RE0000208,OR0052567,OL000122643,2023-10-07,Late Delivery,106.57,Refunded
RE0000209,OR0069584,OL000162431,2024-11-01,Changed Mind,5.85,Exchange
RE0000210,OR0120371,OL000280631,2024-12-05,Wrong Item,38.9,Exchange
RE0000211,OR0042094,OL000098050,2024-01-21,Duplicate Order,13.74,Refunded
RE0000212,OR0002357,OL000005568,2024-02-21,Quality Issue,19.76,Refunded
RE0000213,OR0101614,OL000236987,2023-09-07,Price Match,39.08,Refunded
RE0000214,OR0107267,OL000250318,2024-05-30,Changed Mind,598.69,Refunded
RE0000215,OR0067744,OL000158158,2023-12-25,Duplicate Order,75.83,Refunded
RE0000216,OR0061530,OL000143626,2026-01-30,Duplicate Order,10.88,Refunded
RE0000217,OR0110175,OL000257037,2024-09-28,Duplicate Order,28.56,Refunded
RE0000218,OR0122608,OL000285899,2025-01-17,Changed Mind,28.1,Refunded
RE0000219,OR0026338,OL000061528,2025-12-09,Changed Mind,85.4,Exchange
RE0000220,OR0021504,OL000050177,2025-04-04,Late Delivery,121.81,Refunded
RE0000221,OR0026046,OL000060857,2025-06-20,Duplicate Order,16.23,Store Credit
RE0000222,OR0037217,OL000086654,2024-05-17,Price Match,32.61,Exchange
RE0000223,OR0042950,OL000100003,2024-09-15,Changed Mind,51.1,Refunded
RE0000224,OR0108135,OL000252343,2024-10-20,Price Match,113.54,Exchange
RE0000225,OR0105340,OL000245839,2025-01-11,Price Match,44.12,Refunded
RE0000226,OR0075181,OL000175440,2025-04-02,Late Delivery,79.15,Refunded
RE0000227,OR0041613,OL000096943,2025-04-21,Quality Issue,23.19,Refunded
RE0000228,OR0022982,OL000053524,2024-01-15,Changed Mind,90.21,Refunded
RE0000229,OR0071853,OL000167675,2024-08-02,Changed Mind,23.44,Refunded
RE0000230,OR0090308,OL000210638,2024-11-12,Quality Issue,8.33,Exchange
RE0000231,OR0069944,OL000163320,2024-08-12,Damaged,234.34,Refunded
RE0000232,OR0057758,OL000134865,2025-04-10,Price Match,820.25,Refunded
RE0000233,OR0118420,OL000276147,2025-05-15,Wrong Item,613.95,Exchange
RE0000234,OR0019796,OL000046178,2024-12-29,Price Match,29.25,Refunded
RE0000235,OR0063394,OL000147987,2026-01-05,Duplicate Order,13.19,Exchange
RE0000236,OR0002063,OL000004869,2024-01-10,Changed Mind,860.71,Refunded
RE0000237,OR0072279,OL000168683,2024-05-29,Duplicate Order,109.87,Refunded
RE0000238,OR0063847,OL000149053,2024-08-05,Changed Mind,6.18,Refunded
RE0000239,OR0005320,OL000012440,2025-12-12,Quality Issue,84.69,Refunded
RE0000240,OR0115059,OL000268433,2024-08-31,Duplicate Order,9.31,Refunded
RE0000241,OR0027754,OL000064814,2024-06-23,Late Delivery,14.91,Refunded
RE0000242,OR0009435,OL000022180,2023-09-28,Late Delivery,2.16,Store Credit
RE0000243,OR0077910,OL000181738,2024-12-02,Duplicate Order,320.44,Refunded
RE0000244,OR0002246,OL000005298,2024-05-19,Price Match,277.36,Refunded
RE0000245,OR0082729,OL000192834,2023-07-29,Late Delivery,14.75,Refunded
RE0000246,OR0064568,OL000150814,2023-08-31,Price Match,29.73,Refunded
RE0000247,OR0031762,OL000074099,2023-12-11,Wrong Item,67.39,Refunded
RE0000248,OR0034687,OL000080820,2023-12-24,Changed Mind,60.13,Refunded
RE0000249,OR0066710,OL000155811,2025-03-23,Late Delivery,8.29,Exchange
RE0000250,OR0126468,OL000294950,2024-03-04,Late Delivery,97.27,Exchange
RE0000251,OR0118850,OL000277114,2023-07-07,Quality Issue,31.11,Exchange
RE0000252,OR0033881,OL000078978,2025-06-25,Damaged,779.53,Refunded
RE0000253,OR0060060,OL000140219,2024-09-11,Duplicate Order,57.25,Refunded
RE0000254,OR0005057,OL000011786,2025-05-11,Damaged,20.9,Refunded
RE0000255,OR0063291,OL000147743,2023-10-12,Wrong Item,194.25,Refunded
RE0000256,OR0111509,OL000260125,2025-01-28,Late Delivery,25.32,Refunded
RE0000257,OR0087233,OL000203418,2025-09-28,Quality Issue,302.43,Refunded
RE0000258,OR0124777,OL000291009,2025-10-19,Quality Issue,350.17,Refunded
RE0000259,OR0044803,OL000104283,2023-11-07,Late Delivery,184.9,Refunded
RE0000260,OR0080182,OL000186916,2024-11-10,Duplicate Order,49.24,Store Credit
RE0000261,OR0120867,OL000281829,2025-07-01,Quality Issue,55.23,Refunded
RE0000262,OR0122793,OL000286320,2025-03-05,Damaged,26.62,Exchange
RE0000263,OR0057064,OL000133306,2025-05-27,Quality Issue,14.25,Store Credit
RE0000264,OR0011862,OL000027905,2024-08-13,Duplicate Order,5.51,Exchange
RE0000265,OR0054471,OL000127072,2023-10-09,Wrong Item,17.0,Refunded
RE0000266,OR0020349,OL000047447,2024-05-05,Late Delivery,73.11,Store Credit
RE0000267,OR0018876,OL000044058,2025-07-05,Damaged,132.64,Exchange
RE0000268,OR0123281,OL000287523,2024-03-21,Damaged,10.21,Refunded
RE0000269,OR0033235,OL000077431,2023-03-05,Quality Issue,1.26,Store Credit
RE0000270,OR0025530,OL000059662,2024-11-19,Wrong Item,15.55,Exchange
RE0000271,OR0066849,OL000156167,2025-09-01,Wrong Item,190.06,Refunded
RE0000272,OR0112427,OL000262268,2024-12-17,Wrong Item,103.02,Store Credit
RE0000273,OR0091736,OL000214006,2025-10-26,Quality Issue,30.81,Refunded
RE0000274,OR0108574,OL000253331,2025-10-03,Changed Mind,8.13,Refunded
RE0000275,OR0055573,OL000129753,2024-11-28,Wrong Item,242.52,Refunded
RE0000276,OR0112684,OL000262864,2025-08-07,Quality Issue,22.51,Refunded
RE0000277,OR0034995,OL000081505,2024-08-17,Changed Mind,36.54,Refunded
RE0000278,OR0056246,OL000131360,2023-06-11,Duplicate Order,8.22,Store Credit
RE0000279,OR0009384,OL000022061,2025-12-11,Late Delivery,60.66,Exchange
RE0000280,OR0078506,OL000183100,2025-07-17,Duplicate Order,27.69,Refunded
RE0000281,OR0102556,OL000239211,2023-04-29,Duplicate Order,532.36,Refunded
RE0000282,OR0032060,OL000074760,2025-05-26,Late Delivery,35.79,Refunded
RE0000283,OR0064588,OL000150865,2025-06-09,Damaged,28.25,Refunded
RE0000284,OR0129439,OL000301857,2024-12-12,Wrong Item,43.85,Refunded
RE0000285,OR0083375,OL000194315,2024-11-26,Wrong Item,20.95,Exchange
RE0000286,OR0030207,OL000070525,2024-04-25,Quality Issue,149.82,Refunded
RE0000287,OR0036878,OL000085833,2025-01-28,Changed Mind,37.25,Refunded
RE0000288,OR0126820,OL000295764,2024-03-30,Changed Mind,50.88,Refunded
RE0000289,OR0100445,OL000234244,2023-10-24,Changed Mind,89.7,Exchange
RE0000290,OR0084979,OL000198128,2024-08-30,Price Match,2.58,Store Credit
RE0000291,OR0081126,OL000189095,2024-04-09,Duplicate Order,405.87,Refunded
RE0000292,OR0081027,OL000188862,2025-07-22,Quality Issue,19.09,Store Credit
RE0000293,OR0087743,OL000204629,2025-04-13,Duplicate Order,10.52,Refunded
RE0000294,OR0014058,OL000032974,2024-09-11,Price Match,6.59,Refunded
RE0000295,OR0057619,OL000134526,2024-05-31,Duplicate Order,425.75,Refunded
RE0000296,OR0010994,OL000025894,2024-05-23,Price Match,59.13,Exchange
RE0000297,OR0068261,OL000159322,2025-11-17,Quality Issue,5.6,Exchange
RE0000298,OR0113411,OL000264576,2026-01-11,Late Delivery,7.76,Refunded
RE0000299,OR0079019,OL000184257,2026-01-02,Late Delivery,29.68,Refunded
RE0000300,OR0038779,OL000090309,2023-10-20,Price Match,9.59,Store Credit
RE0000301,OR0022054,OL000051416,2025-04-23,Damaged,14.65,Exchange
RE0000302,OR0079952,OL000186400,2024-04-26,Damaged,13.0,Refunded
RE0000303,OR0087558,OL000204175,2023-11-01,Damaged,9.68,Refunded
RE0000304,OR0053708,OL000125323,2025-05-31,Damaged,37.89,Exchange
RE0000305,OR0044395,OL000103354,2023-11-22,Changed Mind,55.59,Refunded
RE0000306,OR0023600,OL000054991,2024-06-22,Late Delivery,30.78,Refunded
RE0000307,OR0076513,OL000178506,2024-05-17,Changed Mind,52.77,Refunded
RE0000308,OR0044718,OL000104065,2024-06-21,Wrong Item,92.9,Refunded
RE0000309,OR0066926,OL000156331,2024-05-09,Late Delivery,9.53,Exchange
RE0000310,OR0068516,OL000159915,2023-12-07,Changed Mind,7.52,Exchange
RE0000311,OR0035951,OL000083762,2024-07-27,Duplicate Order,176.22,Exchange
RE0000312,OR0035379,OL000082409,2025-11-20,Damaged,3.31,Refunded
RE0000313,OR0079691,OL000185799,2025-11-29,Quality Issue,23.49,Refunded
RE0000314,OR0046080,OL000107251,2024-09-18,Quality Issue,26.65,Refunded
RE0000315,OR0064402,OL000150392,2025-03-14,Late Delivery,10.82,Store Credit
RE0000316,OR0122356,OL000285326,2024-09-09,Quality Issue,41.34,Refunded
RE0000317,OR0072639,OL000169544,2023-06-18,Quality Issue,20.34,Exchange
RE0000318,OR0086872,OL000202569,2023-12-19,Changed Mind,24.91,Exchange
RE0000319,OR0028980,OL000067647,2023-07-15,Changed Mind,12.73,Refunded
RE0000320,OR0118327,OL000275941,2024-10-20,Changed Mind,34.07,Refunded
RE0000321,OR0125105,OL000291743,2025-04-22,Damaged,8.2,Refunded
RE0000322,OR0120687,OL000281371,2025-07-27,Price Match,12.33,Store Credit
RE0000323,OR0123601,OL000288277,2025-07-12,Price Match,113.89,Refunded
RE0000324,OR0060084,OL000140294,2023-10-05,Duplicate Order,68.85,Refunded
RE0000325,OR0088364,OL000206099,2024-08-12,Late Delivery,11.02,Store Credit
RE0000326,OR0105929,OL000247223,2025-02-28,Wrong Item,410.83,Refunded
RE0000327,OR0035238,OL000082073,2025-10-02,Wrong Item,55.92,Refunded
RE0000328,OR0017198,OL000040167,2024-12-19,Quality Issue,65.4,Exchange
RE0000329,OR0022558,OL000052555,2025-12-14,Damaged,104.39,Exchange
RE0000330,OR0018840,OL000043979,2024-05-20,Changed Mind,9.22,Exchange
RE0000331,OR0021290,OL000049703,2024-11-08,Late Delivery,8.34,Refunded
RE0000332,OR0067953,OL000158637,2025-01-05,Late Delivery,20.1,Store Credit
RE0000333,OR0079721,OL000185870,2024-08-03,Damaged,37.92,Refunded
RE0000334,OR0014315,OL000033556,2024-02-17,Wrong Item,17.97,Refunded
RE0000335,OR0084066,OL000195997,2024-07-30,Wrong Item,413.19,Refunded
RE0000336,OR0027728,OL000064749,2024-01-01,Duplicate Order,118.82,Exchange
RE0000337,OR0116564,OL000271916,2023-09-04,Quality Issue,6.22,Refunded
RE0000338,OR0010857,OL000025554,2023-02-27,Wrong Item,15.72,Refunded
RE0000339,OR0100519,OL000234422,2025-07-11,Late Delivery,66.49,Refunded
RE0000340,OR0101341,OL000236350,2026-01-13,Wrong Item,26.29,Refunded
RE0000341,OR0087836,OL000204862,2023-05-08,Quality Issue,4.45,Refunded
RE0000342,OR0011106,OL000026186,2024-12-11,Wrong Item,116.3,Refunded
