order_id,customer_id,store_id,sales_channel,order_datetime,campaign_id,payment_method,fulfillment_type
OR0000077,CU015142,ONLINE,Online,2025-06-03 13:45:00,UNKNOWN,Cash,Standard
OR0000078,CU031886,ST0116,In-Store,2023-05-09 08:23:00,UNKNOWN,PayPal,Express
OR0000079,CU010085,ST0063,Online,2025-05-09 10:19:00,CA00333,Credit Card,Pickup
OR0000080,CU033639,ST0103,Mobile App,2025-09-17 08:06:00,CA00477,Credit Card,Pickup
OR0000081,CU010544,ONLINE,Mobile App,2023-11-21 09:56:00,UNKNOWN,Debit Card,Express
OR0000082,CU039039,ST0021,Marketplace,2025-01-22 09:38:00,CA00485,Cash,Standard
OR0000083,CU016964,ONLINE,Marketplace,2025-05-24 12:59:00,UNKNOWN,Credit Card,Standard
OR0000084,CU015027,ONLINE,Online,2025-08-06 21:01:00,CA00775,Credit Card,Pickup
OR0000085,CU024241,ST0087,In-Store,2023-04-14 08:10:00,CA00066,Credit Card,Express
OR0000086,CU047473,ST0001,Online,2023-09-22 08:00:00,UNKNOWN,Gift Card,Pickup
OR0000087,CU047248,ST0009,In-Store,2025-10-02 08:35:00,UNKNOWN,PayPal,Standard
OR0000088,CU030562,ST0057,Mobile App,2024-07-30 22:34:00,UNKNOWN,Credit Card,Standard
OR0000089,CU036183,ST0016,Marketplace,2024-06-19 21:05:00,CA00512,Debit Card,Standard
OR0000090,CU009870,ST0117,In-Store,2025-05-07 16:56:00,UNKNOWN,Cash,Standard
OR0000091,CU020094,ST0029,Online,2024-03-28 09:15:00,CA00248,Debit Card,Express
OR0000092,CU027495,ST0006,Online,2024-04-26 15:52:00,CA00092,Debit Card,Standard
OR0000093,CU046651,ONLINE,Online,2025-10-11 15:06:00,UNKNOWN,Debit Card,Express
OR0000094,CU039122,ONLINE,Online,2025-08-12 12:18:00,UNKNOWN,Credit Card,Standard
OR0000095,CU000362,ONLINE,Mobile App,2025-01-19 22:48:00,UNKNOWN,PayPal,Standard
OR0000096,CU037143,ST0043,In-Store,2023-01-23 20:46:00,UNKNOWN,Credit Card,Pickup
OR0000097,CU035161,ST0081,In-Store,2025-11-24 18:34:00,UNKNOWN,PayPal,Express
OR0000098,CU034791,ST0025,Online,2025-01-04 12:12:00,UNKNOWN,PayPal,Standard
OR0000099,CU014620,ST0033,In-Store,2023-07-28 16:23:00,UNKNOWN,Credit Card,Standard
OR0000100,CU007217,ST0097,Online,2024-01-10 17:10:00,UNKNOWN,Credit Card,Pickup
OR0000101,CU030244,ST0014,Online,2023-12-20 16:36:00,CA00202,PayPal,Standard
OR0000102,CU018656,ST0074,Online,2023-05-12 17:05:00,CA00200,PayPal,Express
OR0000103,CU045467,ST0091,Mobile App,2024-07-15 18:27:00,CA00779,Gift Card,Standard
OR0000104,CU018393,ST0047,In-Store,2025-05-29 09:38:00,CA00600,PayPal,Express
OR0000105,CU001519,ST0009,Mobile App,2025-04-26 12:04:00,CA00510,Cash,Express
OR0000106,CU037297,ST0002,In-Store,2025-03-14 09:07:00,UNKNOWN,Credit Card,Standard
OR0000107,CU036104,ST0098,Online,2024-05-06 18:26:00,CA00185,PayPal,Pickup
OR0000108,CU046961,ST0100,In-Store,2025-01-24 15:24:00,CA00831,Debit Card,Pickup
OR0000109,CU009184,ST0020,In-Store,2025-02-06 12:52:00,UNKNOWN,Debit Card,Standard
OR0000110,CU044772,ST0010,In-Store,2024-10-23 08:06:00,UNKNOWN,PayPal,Same Day
OR0000111,CU033300,ONLINE,Mobile App,2025-05-04 09:44:00,UNKNOWN,Credit Card,Standard
OR0000112,CU048561,ST0023,Marketplace,2023-09-24 10:42:00,UNKNOWN,Credit Card,Express
OR0000113,CU026420,ST0043,Online,2024-01-12 12:24:00,UNKNOWN,PayPal,Standard
OR0000114,CU012342,ST0035,In-Store,2023-07-14 19:01:00,CA00048,Credit Card,Standard
OR0000115,CU005712,ONLINE,Online,2024-12-18 17:07:00,UNKNOWN,Debit Card,Express
OR0000116,CU007527,ST0109,Online,2024-01-25 15:19:00,UNKNOWN,Debit Card,Standard
OR0000117,CU028532,ST0085,In-Store,2025-07-04 15:54:00,CA00820,Credit Card,Same Day
OR0000118,CU022008,ONLINE,Mobile App,2024-01-03 20:20:00,CA00355,PayPal,Standard
OR0000119,CU016883,ST0071,In-Store,2023-06-17 21:35:00,UNKNOWN,Cash,Standard
OR0000120,CU023717,ST0075,In-Store,2023-01-17 13:37:00,CA00439,Credit Card,Pickup
OR0000121,CU023917,ONLINE,Online,2024-05-20 20:18:00,UNKNOWN,PayPal,Standard
OR0000122,CU037832,ST0074,Online,2025-02-14 20:24:00,UNKNOWN,Credit Card,Standard
OR0000123,CU021884,ST0101,In-Store,2025-05-20 13:20:00,UNKNOWN,Credit Card,Pickup
OR0000124,CU033076,ST0036,In-Store,2024-06-26 15:12:00,UNKNOWN,Cash,Express
OR0000125,CU022348,ONLINE,Online,2023-04-23 19:03:00,UNKNOWN,Credit Card,Standard
OR0000126,CU037212,ST0114,In-Store,2023-11-25 18:15:00,UNKNOWN,Credit Card,Pickup
OR0000127,CU027097,ST0080,Mobile App,2025-03-14 18:31:00,UNKNOWN,PayPal,Pickup
OR0000128,CU039349,ST0098,Online,2023-10-25 15:17:00,CA00112,Credit Card,Same Day
OR0000129,CU015912,ST0056,In-Store,2024-09-20 17:37:00,CA00691,Credit Card,Standard
OR0000130,CU038394,ST0037,In-Store,2024-05-28 11:27:00,CA00885,Credit Card,Same Day
OR0000131,CU045423,ST0048,Online,2025-06-25 18:22:00,UNKNOWN,Cash,Standard
OR0000132,CU017487,ONLINE,Online,2024-03-15 09:50:00,UNKNOWN,Credit Card,Standard
OR0000133,CU001448,ST0076,Mobile App,2023-10-04 18:52:00,UNKNOWN,Debit Card,Standard
OR0000134,CU047181,ST0096,In-Store,2025-02-12 18:28:00,UNKNOWN,Credit Card,Standard
OR0000135,CU026727,ST0012,Mobile App,2023-04-26 13:28:00,UNKNOWN,Gift Card,Standard
OR0000136,CU003356,ONLINE,Online,2024-02-08 22:45:00,CA00307,Debit Card,Standard
OR0000137,CU030230,ONLINE,Mobile App,2024-10-18 18:52:00,UNKNOWN,Cash,Standard
OR0000138,CU005026,ONLINE,Online,2024-02-17 18:37:00,UNKNOWN,Credit Card,Express
OR0000139,CU013091,ST0054,Online,2024-10-27 16:39:00,UNKNOWN,Credit Card,Same Day
OR0000140,CU004966,ONLINE,Online,2025-12-08 22:55:00,UNKNOWN,Credit Card,Standard
OR0000141,CU031835,ST0011,In-Store,2025-09-03 22:34:00,UNKNOWN,Credit Card,Standard
OR0000142,CU001818,ST0063,Online,2023-10-29 21:02:00,UNKNOWN,Debit Card,Express
OR0000143,CU038260,ST0085,In-Store,2025-09-26 17:03:00,CA00320,Debit Card,Standard
OR0000144,CU018855,ONLINE,Marketplace,2023-06-17 22:23:00,UNKNOWN,PayPal,Express
OR0000145,CU023510,ST0119,Online,2024-07-13 16:03:00,UNKNOWN,Debit Card,Standard
OR0000146,CU005264,ST0090,In-Store,2025-04-07 14:47:00,UNKNOWN,Credit Card,Standard
OR0000147,CU019800,ST0112,In-Store,2023-12-03 13:22:00,UNKNOWN,Debit Card,Standard
OR0000148,CU047934,ST0113,Online,2023-06-03 13:27:00,UNKNOWN,Gift Card,Standard
OR0000149,CU006272,ONLINE,Online,2025-02-24 13:27:00,UNKNOWN,PayPal,Standard
OR0000150,CU034549,ST0115,Mobile App,2025-03-30 11:15:00,CA00786,Credit Card,Pickup
OR0000151,CU018128,ST0057,Mobile App,2024-11-08 08:03:00,UNKNOWN,Gift Card,Express
OR0000152,CU031909,ST0070,In-Store,2024-06-07 09:51:00,UNKNOWN,Gift Card,Express
OR0000153,CU010539,ST0091,In-Store,2024-02-19 09:05:00,UNKNOWN,Debit Card,Express
OR0000154,CU038207,ONLINE,Mobile App,2023-08-04 16:39:00,UNKNOWN,Credit Card,Standard
OR0000155,CU048443,ONLINE,Mobile App,2025-01-12 10:49:00,UNKNOWN,PayPal,Standard
OR0000156,CU039449,ONLINE,Marketplace,2025-03-31 11:30:00,UNKNOWN,Credit Card,Standard
OR0000157,CU047175,ST0106,In-Store,2024-06-16 21:23:00,UNKNOWN,Debit Card,Pickup
OR0000158,CU010832,ONLINE,Online,2025-01-24 13:00:00,UNKNOWN,Credit Card,Standard
OR0000159,CU036783,ST0060,In-Store,2025-02-17 16:50:00,UNKNOWN,Credit Card,Standard
OR0000160,CU047598,ST0047,Mobile App,2024-07-09 22:39:00,UNKNOWN,Gift Card,Standard
OR0000161,CU035137,ONLINE,Marketplace,2025-02-19 16:11:00,CA00753,Credit Card,Express
OR0000162,CU021092,ST0067,In-Store,2023-04-19 11:29:00,CA00362,Debit Card,Standard
OR0000163,CU004636,ST0022,In-Store,2023-08-16 19:13:00,UNKNOWN,Credit Card,Standard
OR0000164,CU001889,ONLINE,Marketplace,2024-09-10 20:58:00,CA00882,Debit Card,Express
OR0000165,CU047927,ST0021,Mobile App,2024-03-26 21:13:00,CA00650,Debit Card,Standard
OR0000166,CU011195,ST0073,Marketplace,2024-01-07 09:39:00,CA00503,Cash,Same Day
OR0000167,CU015213,ST0051,In-Store,2023-04-27 10:15:00,UNKNOWN,Debit Card,Express
OR0000168,CU039071,ST0077,In-Store,2025-12-29 22:58:00,CA00801,Credit Card,Pickup
OR0000169,CU018287,ST0075,Mobile App,2024-11-16 14:22:00,UNKNOWN,Gift Card,Express
OR0000170,CU027201,ONLINE,Mobile App,2023-03-30 12:58:00,UNKNOWN,Credit Card,Pickup
OR0000171,CU036383,ONLINE,Online,2024-03-28 16:05:00,CA00676,Debit Card,Standard
OR0000172,CU015383,ST0055,In-Store,2023-01-23 08:07:00,UNKNOWN,PayPal,Standard
OR0000173,CU013717,ST0086,In-Store,2024-03-29 14:50:00,UNKNOWN,Debit Card,Pickup
OR0000174,CU003806,ST0032,Online,2025-04-08 19:37:00,CA00076,PayPal,Pickup
OR0000175,CU021066,ONLINE,Mobile App,2023-09-29 19:07:00,UNKNOWN,Cash,Standard
OR0000176,CU009998,ST0074,Online,2024-11-28 22:22:00,CA00815,Gift Card,Standard
OR0000177,CU003079,ONLINE,Online,2025-01-11 15:05:00,UNKNOWN,Cash,Standard
OR0000178,CU029650,ST0048,Online,2024-02-04 21:42:00,UNKNOWN,PayPal,Standard
OR0000179,CU048013,ONLINE,Mobile App,2024-09-19 14:48:00,UNKNOWN,Credit Card,Standard
OR0000180,CU017524,ST0018,Online,2023-12-08 18:23:00,CA00162,Debit Card,Express
OR0000181,CU034429,ST0011,Marketplace,2024-03-19 19:35:00,UNKNOWN,PayPal,Express
OR0000182,CU026667,ONLINE,Mobile App,2023-07-05 09:49:00,UNKNOWN,Debit Card,Express
OR0000183,CU031175,ST0058,In-Store,2024-06-28 11:08:00,UNKNOWN,Cash,Pickup
OR0000184,CU032040,ST0095,In-Store,2025-06-27 10:44:00,UNKNOWN,Credit Card,Express
OR0000185,CU039888,ST0058,Online,2024-08-19 19:10:00,UNKNOWN,Debit Card,Express
OR0000186,CU033828,ST0053,Online,2024-02-16 22:55:00,UNKNOWN,PayPal,Pickup
OR0000187,CU034461,ST0100,Mobile App,2024-07-13 22:00:00,UNKNOWN,Cash,Standard
OR0000188,CU017446,ST0077,Online,2025-04-18 16:18:00,UNKNOWN,Credit Card,Standard
OR0000189,CU005039,ST0080,Mobile App,2023-05-22 20:05:00,UNKNOWN,Credit Card,Express
OR0000190,CU031216,ST0025,Online,2024-03-31 15:54:00,CA00895,Credit Card,Pickup
OR0000191,CU010105,ONLINE,Online,2024-03-04 11:59:00,CA00192,PayPal,Standard
OR0000192,CU025667,ONLINE,Mobile App,2024-07-04 22:46:00,UNKNOWN,Gift Card,Pickup
OR0000193,CU032881,ONLINE,Marketplace,2025-09-27 19:41:00,UNKNOWN,Credit Card,Express
OR0000194,CU043015,ST0113,In-Store,2023-05-12 09:31:00,CA00658,Credit Card,Pickup
OR0000195,CU040328,ONLINE,Online,2025-04-12 17:06:00,UNKNOWN,Credit Card,Express
OR0000196,CU012333,ONLINE,Marketplace,2025-04-23 12:04:00,UNKNOWN,PayPal,Standard
OR0000197,CU019255,ONLINE,Online,2023-01-19 15:35:00,CA00226,PayPal,Pickup
OR0000198,CU027200,ST0037,Online,2025-08-19 13:09:00,UNKNOWN,Credit Card,Standard
OR0000199,CU029597,ST0034,Online,2025-03-09 22:38:00,UNKNOWN,Credit Card,Pickup
OR0000200,CU030474,ST0083,In-Store,2025-02-22 18:33:00,UNKNOWN,Credit Card,Pickup
OR0000201,CU003059,ONLINE,Mobile App,2023-04-21 22:04:00,UNKNOWN,PayPal,Pickup
OR0000202,CU017265,ST0089,In-Store,2025-11-30 21:09:00,UNKNOWN,PayPal,Standard
OR0000203,CU028759,ST0070,Online,2024-12-22 21:52:00,UNKNOWN,Debit Card,Standard
OR0000204,CU039587,ST0040,Mobile App,2023-02-01 09:27:00,UNKNOWN,PayPal,Standard
OR0000205,CU048475,ST0085,In-Store,2023-08-24 18:11:00,CA00159,Debit Card,Pickup
OR0000206,CU041173,ONLINE,Mobile App,2024-07-11 18:31:00,CA00238,Debit Card,Standard
OR0000207,CU024600,ST0119,In-Store,2024-06-30 20:17:00,UNKNOWN,Credit Card,Express
OR0000208,CU008965,ST0076,Marketplace,2024-05-05 12:02:00,UNKNOWN,Credit Card,Same Day
OR0000209,CU011162,ST0021,In-Store,2023-06-16 11:55:00,CA00170,Debit Card,Standard
OR0000210,CU000027,ONLINE,Marketplace,2024-02-14 16:08:00,UNKNOWN,Credit Card,Standard
OR0000211,CU044258,ST0097,Online,2025-07-12 16:53:00,CA00625,Cash,Standard
OR0000212,CU040838,ST0073,Online,2025-01-08 15:10:00,CA00069,Credit Card,Standard
OR0000213,CU045046,ST0009,In-Store,2024-01-13 20:48:00,UNKNOWN,Cash,Pickup
OR0000214,CU040397,ST0030,Online,2025-05-05 11:55:00,UNKNOWN,Credit Card,Pickup
OR0000215,CU044032,ST0066,In-Store,2024-09-14 08:48:00,UNKNOWN,PayPal,Standard
OR0000216,CU049540,ST0054,Marketplace,2025-03-09 22:24:00,UNKNOWN,Cash,Pickup
OR0000217,CU047948,ST0071,In-Store,2024-04-25 20:10:00,UNKNOWN,Credit Card,Express
OR0000218,CU010947,ST0078,In-Store,2023-04-18 12:38:00,UNKNOWN,Credit Card,Express
OR0000219,CU004691,ST0100,Mobile App,2024-06-18 16:15:00,UNKNOWN,Cash,Standard
OR0000220,CU021885,ST0110,Mobile App,2025-01-15 18:43:00,UNKNOWN,Gift Card,Standard
OR0000221,CU014304,ST0091,In-Store,2024-10-31 13:57:00,UNKNOWN,PayPal,Standard
OR0000222,CU025423,ST0037,In-Store,2025-04-14 19:22:00,UNKNOWN,Debit Card,Express
OR0000223,CU016594,ST0081,In-Store,2023-12-10 20:24:00,UNKNOWN,Debit Card,Standard
OR0000224,CU040854,ONLINE,Online,2023-09-29 20:15:00,UNKNOWN,Credit Card,Express
OR0000225,CU044606,ST0048,In-Store,2023-09-01 19:15:00,UNKNOWN,Credit Card,Standard
OR0000226,CU047850,ONLINE,Online,2024-08-24 16:17:00,UNKNOWN,Debit Card,Standard
OR0000227,CU005969,ST0072,Marketplace,2024-08-11 19:29:00,UNKNOWN,Credit Card,Same Day
OR0000228,CU003217,ONLINE,Online,2024-01-10 21:51:00,UNKNOWN,Credit Card,Express
OR0000229,CU037850,ST0039,Marketplace,2024-01-31 20:44:00,UNKNOWN,Credit Card,Pickup
OR0000230,CU042914,ST0059,Online,2024-11-29 18:47:00,UNKNOWN,PayPal,Standard
OR0000231,CU025875,ST0067,Mobile App,2025-12-18 21:38:00,CA00218,Credit Card,Pickup
OR0000232,CU002260,ST0084,Mobile App,2023-12-29 17:10:00,UNKNOWN,Gift Card,Express
OR0000233,CU001156,ST0117,Marketplace,2024-08-03 12:04:00,CA00058,Credit Card,Standard
OR0000234,CU038156,ST0113,In-Store,2023-06-28 14:47:00,UNKNOWN,Credit Card,Pickup
OR0000235,CU030698,ST0089,Online,2025-07-12 21:17:00,CA00543,Debit Card,Pickup
OR0000236,CU031700,ST0092,Mobile App,2023-10-24 10:16:00,UNKNOWN,Credit Card,Express
OR0000237,CU022581,ST0004,In-Store,2025-05-07 21:56:00,CA00225,Credit Card,Pickup
OR0000238,CU014901,ST0025,In-Store,2025-01-02 17:49:00,UNKNOWN,Debit Card,Standard
OR0000239,CU042627,ST0074,In-Store,2023-07-17 17:00:00,UNKNOWN,Debit Card,Standard
OR0000240,CU024107,ST0057,Mobile App,2025-05-11 12:44:00,UNKNOWN,Credit Card,Pickup
OR0000241,CU027824,ST0046,In-Store,2025-01-24 14:09:00,CA00056,Credit Card,Standard
OR0000242,CU021316,ST0004,In-Store,2024-09-23 14:25:00,UNKNOWN,Credit Card,Standard
OR0000243,CU005072,ONLINE,Online,2025-09-09 21:48:00,UNKNOWN,Debit Card,Express
OR0000244,CU018507,ST0101,Mobile App,2023-08-27 22:41:00,CA00165,Cash,Standard
OR0000245,CU018282,ST0106,Mobile App,2024-03-08 16:53:00,UNKNOWN,PayPal,Standard
OR0000246,CU035208,ST0025,Online,2025-05-27 19:33:00,UNKNOWN,PayPal,Standard
OR0000247,CU040391,ST0079,Online,2023-12-15 11:52:00,UNKNOWN,Credit Card,Standard
OR0000248,CU049231,ST0013,In-Store,2025-05-06 11:27:00,UNKNOWN,Credit Card,Standard
OR0000249,CU004232,ST0111,Mobile App,2023-07-03 19:11:00,CA00676,Debit Card,Express
OR0000250,CU000271,ST0104,In-Store,2023-04-18 10:21:00,CA00290,Debit Card,Standard
OR0000251,CU010034,ONLINE,Online,2025-02-18 19:06:00,UNKNOWN,PayPal,Standard
OR0000252,CU014051,ONLINE,Marketplace,2023-01-14 12:31:00,UNKNOWN,Credit Card,Express
OR0000253,CU038417,ST0013,Marketplace,2024-02-10 21:50:00,UNKNOWN,Credit Card,Standard
OR0000254,CU034133,ONLINE,Online,2023-12-17 12:52:00,UNKNOWN,PayPal,Standard
OR0000255,CU015434,ST0057,In-Store,2025-11-20 09:22:00,UNKNOWN,Cash,Standard
OR0000256,CU017727,ST0069,In-Store,2023-10-16 18:50:00,UNKNOWN,PayPal,Express
OR0000257,CU046758,ST0020,In-Store,2024-07-11 20:15:00,UNKNOWN,Credit Card,Standard
OR0000258,CU022909,ONLINE,Online,2024-08-04 22:51:00,UNKNOWN,Credit Card,Express
OR0000259,CU021985,ST0120,In-Store,2025-08-22 11:50:00,UNKNOWN,Credit Card,Standard
OR0000260,CU022733,ST0008,In-Store,2025-07-28 12:28:00,UNKNOWN,Credit Card,Standard
OR0000261,CU007138,ST0100,Online,2024-08-06 14:24:00,UNKNOWN,Credit Card,Standard
OR0000262,CU036457,ST0071,Online,2024-12-19 22:57:00,UNKNOWN,Cash,Standard
OR0000263,CU040834,ST0101,Online,2024-08-25 08:52:00,UNKNOWN,Credit Card,Express
OR0000264,CU025397,ST0103,In-Store,2025-01-19 20:57:00,UNKNOWN,Credit Card,Express
OR0000265,CU040011,ST0037,Online,2024-05-29 20:54:00,UNKNOWN,Credit Card,Standard
OR0000266,CU031144,ONLINE,Online,2024-10-24 18:26:00,UNKNOWN,Credit Card,Standard
OR0000267,CU006695,ST0043,Mobile App,2023-06-07 17:31:00,UNKNOWN,Credit Card,Pickup
OR0000268,CU035290,ST0016,In-Store,2024-12-12 13:32:00,UNKNOWN,Credit Card,Pickup
OR0000269,CU030132,ST0084,In-Store,2025-01-10 21:26:00,UNKNOWN,Credit Card,Standard
OR0000270,CU013171,ST0089,In-Store,2024-02-19 19:43:00,CA00187,Debit Card,Standard
OR0000271,CU041990,ST0120,Online,2024-10-18 09:03:00,UNKNOWN,Credit Card,Same Day
OR0000272,CU002992,ONLINE,Mobile App,2024-04-12 10:35:00,UNKNOWN,Credit Card,Standard
OR0000273,CU031948,ST0120,In-Store,2023-08-07 16:42:00,UNKNOWN,Cash,Standard
OR0000274,CU008325,ST0066,Online,2025-11-05 13:57:00,UNKNOWN,Credit Card,Express
OR0000275,CU004273,ONLINE,Marketplace,2025-11-25 22:27:00,CA00680,Cash,Standard
